,ISO3,Supply-BaU2,Energy-mod (kcal/year),EnM2030,BaU_needed2030
70,ISL,1174877338546.5051,291151834931.26733,320447482404.2428,-854429856142.2623
71,ISR,9232507684219.926,6370220102847.839,8043236648548.76,-1189271035671.166
72,ITA,73995832546919.6,52348728886250.76,50015356655839.12,-23980475891080.477
73,JAM,2829604971636.8105,2509125927291.01,2555340882233.4053,-274264089403.40527
74,JOR,6702254628253.146,7055371010946.925,9138600104864.248,2436345476611.1016
75,JPN,84837887087412.36,102983131326895.67,95857312373123.98,11019425285711.625
76,KAZ,34230464655331.855,14251722062393.992,16802051925235.414,-17428412730096.441
77,KEN,29653125640079.152,36657135185237.16,54497890279647.49,24844764639568.34
78,KGZ,5409948417612.812,4664547501035.987,5729339277417.7,319390859804.8887
79,KHM,30464364656441.336,12446615697041.361,15552059176415.96,-14912305480025.375
80,KIR,185289048331.9464,96803562078.99577,126078541351.54189,-59210506980.404526
81,KOR,46588859287856.67,42947687450221.23,43610898420788.164,-2977960867068.508
82,KWT,3868833198898.0225,3244035386131.1055,4229722748289.8486,360889549391.8262
83,LBN,5375685128550.154,4665875621313.081,4477910569540.819,-897774559009.335
84,LBY,2163582373534.196,5208549038080.575,6276800076392.666,4113217702858.4697
85,LCA,146757210853.29114,157116160978.8375,165357350968.306,18600140115.014862
86,LKA,21665214314851.664,17101012313739.188,17827861040918.03,-3837353273933.633
87,LTU,5407121886622.851,2630483283171.004,2361508255345.9043,-3045613631276.9463
88,LVA,3126177987360.0605,1789183817483.12,1533436540246.8733,-1592741447113.1873
89,MAR,48809964568725.76,28657570645045.3,34414897359852.938,-14395067208872.82
90,MDA,2570210671039.784,3731013885264.343,3496889219566.7827,926678548526.9985
91,MDG,16854620968981.809,18761499439871.082,28652906637286.97,11798285668305.16
92,MDV,330851173664.25745,344321478714.5836,439555335673.9907,108704162009.73328
93,MEX,111001551419883.0,108057744633805.16,129827101424287.69,18825550004404.688
94,MKD,1983426868984.6108,1902887306308.9465,1883723092566.5195,-99703776418.09131
95,MLI,22715472701646.535,13055467887684.768,21205904991637.176,-1509567710009.3594
96,MLT,542389537436.57477,386904679753.8468,393724579900.84015,-148664957535.73462
97,MNG,1956824471913.1226,2390175484030.6724,2958458029244.031,1001633557330.9082
98,MRT,1635389892051.451,3246282002472.975,4925689225306.965,3290299333255.5137
99,MUS,1217413269738.0693,1084708806221.2524,1097807717725.3763,-119605552012.693
100,MWI,15428586858639.271,13367373977295.904,21235347423665.887,5806760565026.615
101,MYS,165502664321751.8,25391929280420.484,30923941165181.96,-134578723156569.84
102,NAM,1312002165430.894,1916769613836.2195,2664869371443.6875,1352867206012.7935
103,NER,22827778268077.97,14546324885392.02,26774149654808.832,3946371386730.8633
104,NGA,169001539969754.38,138648122678361.78,210255812567398.2,41254272597643.81
105,NIC,4462160118653.709,5186899816817.3955,6183920586416.385,1721760467762.6758
106,NLD,23757684751882.266,15101148746927.305,15429002914740.547,-8328681837141.719
107,NOR,5369036452614.577,4570327329931.702,5251833028259.297,-117203424355.28027
108,NPL,24883311796373.617,23160329626251.402,27662045671757.04,2778733875383.422
109,NZL,4981066060340.532,4166995462011.1147,4708601853189.824,-272464207150.708
110,OMN,3729956838006.1313,3404405434977.2656,5166689794941.037,1436732956934.9058
111,PAK,152076672420234.34,149172111565773.1,199823312210081.47,47746639789847.125
112,PAN,3288004076793.0376,3374639821495.5884,4243844911866.675,955840835073.6372
113,PER,37325383783867.875,26881214493469.53,32271004375775.746,-5054379408092.129
114,PHL,91645698393268.16,81729855668072.03,103213229432794.36,11567531039526.203
115,PNG,8880246431704.26,6793566995899.377,9357432960424.426,477186528720.166
116,POL,49001128210947.34,34608868068788.55,32580360848420.965,-16420767362526.379
117,PRT,12875215801843.99,9271833685474.566,8606955122273.151,-4268260679570.839
