,ISO3,Supply-BaU2,Folate (ug DFE/day),Ft2030,BaU_needed2030
81,KOR,5811848108080.96,6937299509855.368,7157748830343.151,1345900722262.1914
82,KWT,472477916346.95905,511739298460.6533,673353304995.8167,200875388648.8576
83,LBN,663979005749.0011,750539078925.4003,726965185650.4352,62986179901.43408
84,LBY,306260533266.1923,820377819899.6368,990868901221.4619,684608367955.2695
85,LCA,31032403270.942265,23838188516.551468,25164377454.56251,-5868025816.379753
86,LKA,1996752427459.8926,2764059482412.926,2910105314796.6904,913352887336.7979
87,LTU,503253430437.3081,396441497456.9073,358484886157.7939,-144768544279.51422
88,LVA,215339139725.6155,269864264108.4985,232786398737.39005,17447259011.774536
89,MAR,5264255435413.63,4536951400011.615,5478508278879.259,214252843465.6289
90,MDA,378276548333.4064,555672041428.1741,525055160711.89703,146778612378.49066
91,MDG,1527833574946.0957,2962781766447.7134,4522921938396.816,2995088363450.7207
92,MDV,46970863427.4001,54479185825.09692,69747183869.48117,22776320442.08107
93,MEX,13797670549222.184,16400990862737.762,19715176201473.6,5917505652251.418
94,MKD,300665780565.25555,284210447811.8524,283563306106.2347,-17102474459.020874
95,MLI,4210685877656.4556,2065168465415.0818,3345205756336.8066,-865480121319.6489
96,MLT,79188052370.69841,58046337069.76255,59673644723.467926,-19514407647.230484
97,MNG,257666509010.46445,382849084279.622,475867050595.033,218200541584.56857
98,MRT,190926753180.386,512763633767.6053,777653991091.0698,586727237910.6838
99,MUS,143430359936.4195,172009889940.26587,176073144423.87448,32642784487.454987
100,MWI,2969035753571.019,2113140379259.9983,3347506009506.156,378470255935.1367
101,MYS,2547063258476.9346,4061887425916.273,4980567506591.471,2433504248114.536
102,NAM,137210216708.30174,303241138958.8332,421282639731.54376,284072423023.242
103,NER,11195469518513.928,2303135838060.3677,4233620441063.4824,-6961849077450.445
104,NGA,35614047360284.39,21907570641658.34,33169042882427.934,-2445004477856.457
105,NIC,924676275923.9929,788439755103.5382,938659474188.6472,13983198264.654297
106,NLD,3581157792072.8623,2270031780249.408,2338538964383.9546,-1242618827688.9077
107,NOR,375924384895.6397,685002034909.3656,790654817523.1218,414730432627.4821
108,NPL,3280752401948.575,3721588569008.802,4452703050947.191,1171950648998.6162
109,NZL,810344892404.7441,608213493487.996,691312580376.2147,-119032312028.52942
110,OMN,364898324197.1718,530683799578.39844,806634864973.0105,441736540775.8387
111,PAK,16857735957756.744,23860236603785.785,31983277890332.46,15125541932575.717
112,PAN,283752565667.56915,512672902400.38873,646397714327.802,362645148660.23285
113,PER,4301638698500.568,4080812139357.33,4905496560208.3,603857861707.7319
114,PHL,6937632244694.902,13077753582083.426,16572277908970.94,9634645664276.037
115,PNG,608019242680.2207,995999811567.8282,1365086705200.861,757067462520.6404
116,POL,4186492647857.059,5178291914537.632,4922481906196.579,735989258339.52
117,PRT,2231820885684.9385,1398204130522.981,1305916582241.0613,-925904303443.8772
118,PRY,3542832036002.8687,859466232925.1161,1040003204165.777,-2502828831837.092
119,QAT,15644959742.369482,330039875575.68005,453711706552.0236,438066746809.6541
120,ROU,3553539143801.0483,2697713803644.43,2485074128053.6167,-1068465015747.4316
121,RUS,31239917659579.25,19383069000441.81,18867503958287.094,-12372413701292.156
122,RWA,2207873678110.673,1427649121090.5525,2064461917318.2468,-143411760792.42603
123,SAU,3407854159217.905,4093415226659.973,5355600903010.985,1947746743793.0806
124,SEN,2554619099354.075,1809730077989.0613,2804346710661.524,249727611307.44873
125,SGP,589829059254.3553,749617671490.9868,868019860609.4031,278190801355.0477
126,SLB,70158759670.50223,73103436434.61476,100105008136.66106,29946248466.15883
127,SLE,834897365006.7474,887150878066.7224,1242443482975.6572,407546117968.9098
128,SLV,664901458454.4596,827371157773.3198,901423375294.6692,236521916840.2096
129,STP,11951535165.238583,23751485867.126194,33958978837.42596,22007443672.187378
130,SUR,28323710328.59305,72778132396.05235,82638494382.3464,54314784053.75336
131,SVK,493048929946.17883,739543110166.7543,730047272856.7482,236998342910.56934
132,SVN,205063486416.88116,276848589311.897,272671049617.46854,67607563200.58737
133,SWE,1132905654663.8064,1282492426346.2646,1412716388302.2017,279810733638.39526
134,SWZ,34887745501.268845,165441515341.9927,216685445044.24066,181797699542.9718
135,SYC,2940660077.723262,12452991541.67737,13161522362.873276,10220862285.150013
136,SYR,3269502378585.6,2472664379259.841,3488723086428.066,219220707842.46582
137,TGO,1106992286754.2698,906583817829.978,1340957690028.3914,233965403274.12158
138,THA,8009204650832.547,9331082427484.707,9494655112920.23,1485450462087.6836
139,TON,25953942543.49803,13524135369.586555,15660370863.616549,-10293571679.881483
140,TTO,100210263039.94048,183149733623.2933,187491772178.2615,87281509138.32103
141,TUN,2170597027489.664,1484216546077.5315,1724348271953.063,-446248755536.6011
142,TUR,18485521618907.984,10256334737335.93,11911930528685.482,-6573591090222.502
143,TZA,13930986928884.463,6432119237608.574,10457078670864.662,-3473908258019.801
144,UGA,5812666647021.691,4713616931056.986,7886547075532.491,2073880428510.7998
145,UKR,19469531949565.168,6078705577901.97,5572357514197.726,-13897174435367.441
146,URY,1039731399295.2412,449757675827.63196,472733877973.8325,-566997521321.4087
147,USA,79273365729533.77,42439548019503.516,46950205961742.09,-32323159767791.67
148,VCT,9082188381.561043,14621585809.504984,15077668122.45469,5995479740.893648
149,VEN,2630156446859.282,4060674371418.6133,4909434282436.625,2279277835577.343
150,VUT,58074113217.33127,33179967734.217907,46211446989.22408,-11862666228.107185
151,YEM,2121426320107.3953,3312017384989.7134,4754605917581.438,2633179597474.043
152,ZAF,3827459837654.0825,7193455634374.406,8608363643178.143,4780903805524.061
153,ZMB,897461096697.8368,1927817515722.892,3102806238815.967,2205345142118.13
154,ZWE,546045725159.5146,1924781601659.119,2760531910256.7466,2214486185097.232
