,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
456,CAN,2907.0,9.281928053716304e-10,6.530686094664025e-10,3.486382813465971e-08,2.4529894682238784e-08,8.823561210277217e-08,6.208183059370169e-08,2.3823614391206465e-07,1.67620936435719e-07,inf,inf,inf,inf,4.7647230675743705e-09,3.352418861927533e-09
457,CAN,2908.0,3.761422449316405e-10,3.369942632049692e-10,1.191117135573738e-06,1.0671485240016976e-06,2.013155737940662e-07,1.80363132236706e-07,4.764468542294952e-06,4.2685940960067905e-06,inf,inf,inf,inf,1.429340530740234e-07,1.280578200178883e-07
458,CAN,2913.0,5.584577266472866e-10,5.003347873271376e-10,1.754472891901143e-07,1.5718715658401244e-07,5.50170144053472e-07,4.929097564310189e-07,7.416655592357327e-07,6.64474788585819e-07,9.193027354317272e-06,8.236239139941065e-06,inf,inf,3.353298081036972e-08,3.004294868105186e-08
459,CAN,2918.0,1.3999816136979644e-09,1.0834426948694104e-09,3.39588626313549e-08,2.628068917764585e-08,8.238977405384328e-08,6.376126511746885e-08,1.6383054741189722e-07,1.2678810068156445e-07,2.4609024785671946e-10,1.904487021188033e-10,inf,inf,1.4846710048877322e-09,1.1489836286357642e-09
460,CAN,2919.0,2.16538586783604e-09,1.6757873654379028e-09,2.2527704118975005e-07,1.7434140720900015e-07,5.292235144386067e-07,4.0956491503989664e-07,1.275088698603113e-06,9.867883422861376e-07,2.9267746090124163e-08,2.2650244393480264e-08,inf,inf,2.9077743589172988e-08,2.2503201875458398e-08
461,CAN,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,CHE,960.0,1.6783935240122565e-09,1.5721932430130042e-09,3.25022228143156e-08,3.044564600643498e-08,3.4127335751054606e-06,3.196792998913666e-06,2.767081179602717e-07,2.5919942321036245e-07,2.22569576010321e-09,2.084864952691158e-09,2.2751557261543248e-07,2.1311953414305796e-07,2.047640099294953e-08,1.9180757564758655e-08
463,CHE,976.0,2.0077531447696444e-08,1.7757706310050205e-08,3.086563069092133e-07,2.729931248329528e-07,2.953529404737855e-06,2.612268738518138e-06,1.7147098163845245e-06,1.5165865089360893e-06,8.464601155804536e-09,7.486572826348838e-09,5.603630907066045e-07,4.956168649359325e-07,1.488007870710664e-07,1.3160784643250944e-07
464,CHE,1016.0,6.2740994697340445e-09,5.5491690317517446e-09,1.0984427238488154e-07,9.715249775268965e-08,3.072891693883149e-06,2.7178395095394233e-06,3.7631759453745403e-06,3.328366009790198e-06,inf,inf,1.1228504672184932e-05,9.93112568590017e-06,2.968162797161496e-06,2.625211339836217e-06
465,CHE,1049.0,9.062161976937592e-10,8.015089471520907e-10,1.832932328631804e-08,1.621149196694418e-08,6.4821111552683e-08,5.7331463513937794e-08,1.1290562198294721e-07,9.986012877876767e-08,9.182990803296757e-08,8.121957331141187e-08,4.749822965965949e-07,4.201012533541925e-07,9.182990803296757e-08,8.121957331141187e-08
466,CHE,1052.0,2.140757575292035e-09,1.8934072847592385e-09,2.437327412733505e-08,2.1557104512328834e-08,1.7493047615243485e-07,1.5471842384032635e-07,2.3730879249563803e-07,2.0988934087380935e-07,1.913302082917256e-09,1.6922327607535695e-09,3.439644249294513e-07,3.042216248005577e-07,6.51336879290981e-09,5.760792377033429e-09
467,CHE,1053.0,1.2574655372848667e-09,1.112173763208131e-09,1.0234748443630875e-08,9.05219137585227e-09,2.189608508204186e-07,1.936613817488912e-07,1.2153571950241666e-07,1.0749307596538083e-07,3.4353267297251337e-07,3.038397589088237e-07,3.0985845349415267e-07,2.740563713805971e-07,1.517777897836463e-07,1.3424087629436938e-07
