,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
11,AUS,2805.0,3.0229987790895324e-10,2.468967022736154e-10,1.5348184298258173e-08,1.253528818913028e-08,1.3679069271546114e-07,1.1172075611404195e-07,9.433841288959079e-08,7.704880068519823e-08,inf,inf,inf,inf,1.2159172867004563e-08,9.930734024783197e-09
12,AUS,2903.0,1.923654862600488e-11,1.723445483238719e-11,2.9402240558726545e-10,2.634212595680139e-10,1.4743913803723337e-09,1.3209402655493561e-09,2.1119386778228238e-09,1.8921331710463008e-09,2.482132198142334e-09,2.2237978386137516e-09,inf,inf,2.0408166368844467e-11,1.8284133413632035e-11
13,AUS,2905.0,1.1684017538903559e-11,9.542661477789949e-12,3.276262486634808e-10,2.6758145234068313e-10,1.1386330153066482e-09,9.299531925836362e-10,1.4782059714957843e-09,1.2072918526066858e-09,4.649145603872646e-09,3.797086277129576e-09,inf,inf,1.8858129071244272e-10,1.540195752292929e-10
14,AUS,2907.0,3.461656585172747e-11,2.4355923030709558e-11,1.3259603923982176e-09,9.329345203492742e-10,3.3582424927423745e-09,2.3628310220613566e-09,8.94269569044463e-09,6.292005072266814e-09,6.801272107331522e-11,4.785317546131222e-11,inf,inf,1.8154739053899408e-10,1.2773520889777256e-10
15,AUS,2908.0,1.1334514377931453e-11,1.0154845335894986e-11,3.589262966571238e-08,3.2157010949099323e-08,6.06635999124495e-09,5.434987808820114e-09,1.435705186628495e-07,1.286280437963973e-07,inf,inf,inf,inf,4.307115463613952e-09,3.8588412276400944e-09
16,AUS,2913.0,1.2000269076438637e-11,1.0751309883873235e-11,1.7393592588205522e-08,1.5583309234023958e-08,5.075373819798034e-08,4.547141098717771e-08,8.866198603716305e-08,7.943425940979619e-08,1.1379369919879202e-08,1.019503242073596e-08,inf,inf,1.9279408107224707e-09,1.7272853601708216e-09
17,AUS,2918.0,8.649722729019965e-11,6.694001415238878e-11,2.2304379093993085e-09,1.7261309974745378e-09,5.279229121219903e-09,4.085583817646874e-09,1.1569097977023587e-08,8.953299505359715e-09,1.5735935264176754e-11,1.2178005726715526e-11,inf,inf,9.705210133194e-11,7.510840798263626e-11
18,AUS,2919.0,3.353564609727133e-11,2.595316283178934e-11,2.6812578998861726e-09,2.0750195975925864e-09,7.516224126070153e-09,5.816789336883965e-09,2.0530102081197735e-08,1.588820089289813e-08,4.0087632937122316e-10,3.1023731051443517e-10,inf,inf,3.832347737181725e-10,2.9658454935570646e-10
19,AUS,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NZL,960.0,1.78305453081961e-09,1.5925692039306311e-09,3.452899145620793e-08,3.084022809479846e-08,3.625544293703771e-06,3.238224120372233e-06,2.939630404818141e-07,2.6255870321024607e-07,2.3644853560868744e-09,2.11188524869062e-09,2.417029539140444e-07,2.158816089183952e-07,2.1753265275999245e-08,1.94293442879537e-08
21,NZL,976.0,7.880634879781117e-09,6.920454730954131e-09,1.137631829582848e-07,9.990222484891083e-08,8.473149930479699e-07,7.440777477575584e-07,5.629215066090386e-07,4.943348934440864e-07,2.0425739356600374e-09,1.793705795535438e-09,1.4248387218856675e-07,1.251235722012562e-07,4.3161043240994686e-08,3.7902282042833796e-08
22,NZL,1016.0,1.4827271807338884e-08,1.3020710246265236e-08,9.858212842518029e-08,8.657083692557972e-08,6.073923039540902e-07,5.333873485534407e-07,4.958399099236341e-07,4.3542654910085e-07,inf,inf,1.4747055777817433e-06,1.2950267774374505e-06,3.909747502715775e-07,3.4333820833933867e-07
23,NZL,1049.0,8.308640673128742e-10,7.296312103187906e-10,1.680523492685267e-08,1.4757677436968551e-08,5.943121799132089e-08,5.219009127927349e-08,1.0351748792614575e-07,9.090486997348113e-08,8.419422548770459e-08,7.393596264563745e-08,4.354873857432649e-07,3.8242740399889343e-07,8.419422548770459e-08,7.393596264563745e-08
24,NZL,1052.0,5.839902261204539e-10,5.128365905588712e-10,6.648933084810633e-09,5.838824044574085e-09,4.7720344191557094e-08,4.190607568566777e-08,6.473690294941223e-08,5.6849329161665414e-08,5.219412645951556e-10,4.5834770281199115e-10,9.383213896348812e-08,8.239958834680243e-08,1.776821326281381e-09,1.5603326053174163e-09
25,NZL,1053.0,2.4514395043885495e-10,2.152754996849288e-10,2.0120960391434465e-09,1.7669413398341692e-09,4.229675186139909e-08,3.714329631921005e-08,2.3903550566612078e-08,2.0991131060992193e-08,1.8551699643826964e-07,1.6291352096105267e-07,6.228824301689479e-08,5.4699015072382447e-08,3.2081653707961864e-08,2.8172810384823124e-08
26,NZL,2511.0,4.080625678891666e-11,3.3327602720197675e-11,1.1429846137697056e-09,9.335072638508149e-10,3.83991467528336e-09,3.136164913123319e-09,4.474663259899349e-09,3.6545817030954696e-09,inf,inf,inf,inf,3.334169762021239e-10,2.723109002747858e-10
