,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
256,JPN,2514.0,1.914272893810482e-11,1.5759771455353485e-11
257,JPN,2555.0,1.8948727177056403e-09,1.7204996267089073e-09
258,JPN,2805.0,1.2750576287471226e-09,1.0497258194708063e-09
259,JPN,2903.0,3.79492120888546e-09,3.445698733360213e-09
260,JPN,2905.0,6.900006028033486e-10,5.680617345310167e-10
261,JPN,2907.0,7.469544476692498e-10,5.447031674881595e-10
263,JPN,2913.0,2.919700660419799e-10,2.651019168420138e-10
264,JPN,2918.0,2.2206655369514407e-09,1.7181859268710525e-09
265,JPN,2919.0,2.4287460932898264e-09,1.879183194405057e-09
266,KOR,2511.0,2.372406522335301e-08,1.9531480967047466e-08
267,KOR,2514.0,1.0881492353813856e-08,8.958484087810563e-09
268,KOR,2555.0,6.427824890593075e-10,5.836313025925144e-10
269,KOR,2805.0,1.0714134611321144e-09,8.82070228138698e-10
270,KOR,2903.0,7.2461570280817904e-09,6.579339258725629e-09
271,KOR,2905.0,2.6921634518255858e-09,2.216396672512631e-09
272,KOR,2907.0,1.0615269149905027e-09,7.740995113871984e-10
273,KOR,2913.0,1.6045275350575607e-09,1.4568730655710148e-09
274,KOR,2918.0,8.096147651984705e-10,6.264197253498613e-10
275,KOR,2919.0,1.110563160297119e-09,8.59271223501532e-10
276,MNG,2511.0,6.557085995965854e-10,5.398299116267562e-10
277,MNG,2903.0,2.7932768337034726e-08,2.5362293228330847e-08
278,MNG,2905.0,6.031710920723635e-09,4.9657698180192295e-09
279,MNG,2907.0,1.800205492466627e-09,1.312767648597431e-09
280,MNG,2913.0,0.0,0.0
281,MNG,2918.0,2.7080115109110346e-08,2.0952580163150885e-08
282,MNG,2919.0,4.691934537178029e-07,3.630270185868075e-07
283,MYS,2514.0,2.254516815876834e-10,2.0197286620651263e-10
284,MYS,2805.0,1.5555010362577453e-09,1.3935092453856448e-09
285,MYS,2903.0,1.7991430043825085e-08,1.5360301576632925e-08
286,MYS,2907.0,1.8677038365734814e-10,1.4270435582941847e-10
288,MYS,2913.0,5.88256641125725e-11,5.0222797132512985e-11
289,MYS,2918.0,9.34569221631428e-10,6.493710610932407e-10
290,MYS,2919.0,9.004894387834407e-10,6.256912477229771e-10
291,PHL,2514.0,4.868960305217318e-10,4.361900791181333e-10
292,PHL,2555.0,8.79408054165608e-10,7.508004026361322e-10
293,PHL,2805.0,2.201768675857951e-09,1.9724737782175083e-09
294,PHL,2903.0,2.2127790844894826e-09,1.889174678023421e-09
296,PHL,2907.0,5.928750133206846e-11,4.529939126671463e-11
298,PHL,2913.0,2.5364471209180496e-11,2.1655083901379697e-11
299,PHL,2918.0,1.3307666008756932e-09,9.246627212584357e-10
300,PHL,2919.0,3.5549990470825076e-10,2.470136454268822e-10
301,SGP,2907.0,2.2570241141672028e-06,1.7245088112824174e-06
302,SGP,2913.0,8.04512771638688e-08,6.868580632290736e-08
303,SGP,2918.0,1.639147489947478e-08,1.1389364428002703e-08
304,SGP,2919.0,7.192205964614897e-06,4.9973937839406095e-06
305,THA,2511.0,1.5309090540602182e-10,1.3714783024574046e-10
306,THA,2514.0,4.426247679409265e-10,3.965292802673216e-10
307,THA,2555.0,2.4241573304041827e-09,2.0696402439112103e-09
308,THA,2805.0,1.7909632268122927e-09,1.6044501138442818e-09
309,THA,2903.0,4.379368679486316e-09,3.738914775996808e-09
310,THA,2905.0,1.5101492536446624e-09,1.352880453187541e-09
311,THA,2907.0,8.789528496579955e-11,6.715754273171731e-11
313,THA,2913.0,1.1630086531550856e-10,9.929262768540753e-11
314,THA,2918.0,1.5337577922288998e-08,1.0657080309803921e-08
315,THA,2919.0,1.9996837408304475e-09,1.389449515967562e-09
316,ALB,2511.0,4.826256768711666e-10,3.961762849086956e-10
317,ALB,2514.0,5.584236141998793e-10,4.5839706315097644e-10
318,ALB,2555.0,5.678150315105022e-10,5.109824223611664e-10
319,ALB,2903.0,2.180188831351901e-09,1.961973721064392e-09
320,ALB,2905.0,1.2675236582949096e-09,1.0404809317909642e-09
321,ALB,2907.0,8.015881718021627e-10,5.801025717096187e-10
323,ALB,2913.0,7.571014229483372e-10,6.813231379981035e-10
324,ALB,2918.0,1.6877023324789152e-09,1.3099633089011894e-09
325,ALB,2919.0,8.915096898900147e-10,6.919733182867939e-10
326,AUT,2511.0,5.964586894647537e-10,4.896191790407678e-10
327,AUT,2514.0,3.8845659349221647e-10,3.1887505666035144e-10
328,AUT,2555.0,7.064463648403013e-10,6.357381448921027e-10
329,AUT,2903.0,2.1665946419587147e-08,1.9497401741509048e-08
330,AUT,2905.0,2.767310811790444e-10,2.271621608925431e-10
331,AUT,2907.0,6.216620472323736e-10,4.4989155905705123e-10
333,AUT,2913.0,8.616897303582037e-10,7.754432012320398e-10
334,AUT,2918.0,1.338335234285353e-09,1.038791034523496e-09
335,AUT,2919.0,1.1621193476623288e-09,9.020155253123435e-10
336,BGR,2511.0,4.4371802024468666e-10,3.6423788710791564e-10
337,BGR,2514.0,4.4352357878249613e-10,3.6407827459698945e-10
338,BGR,2555.0,9.054704710264493e-10,8.148419273628261e-10
339,BGR,2805.0,1.8039724484236031e-09,1.4808393687783176e-09
340,BGR,2903.0,7.083918237995766e-09,6.374888828550802e-09
341,BGR,2905.0,7.284352849874108e-10,5.979557218621753e-10
342,BGR,2907.0,3.736255251188702e-09,2.703896284928048e-09
343,BGR,2913.0,1.7984088948987038e-10,1.6184061402295076e-10
344,BGR,2918.0,4.9195116207467454e-09,3.818433853454291e-09
345,BGR,2919.0,2.9481672776968434e-09,2.288312866531052e-09
346,BLR,2511.0,6.406684743354478e-10,5.259099716074461e-10
347,BLR,2514.0,1.043628324559987e-09,8.566904171574617e-10
348,BLR,2903.0,6.697621478549415e-09,6.027256513557194e-09
349,BLR,2905.0,4.6535700259498713e-10,3.820008285500788e-10
350,BLR,2907.0,2.9335192066278405e-10,2.122963007423682e-10
352,BLR,2913.0,8.540472916153661e-10,7.685656942185787e-10
353,BLR,2918.0,2.0846365959315772e-10,1.6180563364227955e-10
354,BLR,2919.0,7.39156635466078e-10,5.737196976964601e-10
355,CAN,2511.0,4.766287657621874e-10,3.8927594443445295e-10
356,CAN,2514.0,6.228559105903331e-10,5.087037129492289e-10
357,CAN,2555.0,6.402335666546149e-10,5.735995942520961e-10
358,CAN,2903.0,2.1984033511408925e-10,1.9695988087690104e-10
359,CAN,2905.0,7.978445091289497e-10,6.516217591406941e-10
360,CAN,2907.0,9.281928053716304e-10,6.530686094664027e-10
362,CAN,2913.0,5.584577266472865e-10,5.003347873271376e-10
363,CAN,2918.0,1.3999816136979646e-09,1.0834426948694101e-09
364,CAN,2919.0,2.16538586783604e-09,1.6757873654379028e-09
365,CHE,2511.0,3.1000237234163967e-10,2.544737963039992e-10
366,CHE,2514.0,1.1123180892467866e-09,9.130762604497015e-10
367,CHE,2555.0,4.486304852494621e-09,4.037270578906746e-09
368,CHE,2903.0,5.406799288230047e-09,4.86563272228083e-09
369,CHE,2905.0,1.5049937643076123e-10,1.2354146638437258e-10
370,CHE,2907.0,4.23582640963096e-10,3.06543170169045e-10
372,CHE,2913.0,3.773171809494939e-10,3.3955150255033875e-10
373,CHE,2918.0,3.483680417202455e-09,2.7039682523694187e-09
374,CHE,2919.0,1.1379543148734532e-09,8.832590741878578e-10
375,CZE,2511.0,2.500968659572598e-10,2.052987480164769e-10
376,CZE,2514.0,1.6208903518285879e-09,1.3305514990310348e-09
377,CZE,2555.0,6.6935129197462575e-09,6.023559180423786e-09
378,CZE,2903.0,5.707228774758449e-09,5.135992220102904e-09
379,CZE,2905.0,1.5349313613658727e-10,1.2599897466667668e-10
380,CZE,2907.0,1.7640895232776188e-09,1.2766566488607225e-09
382,CZE,2913.0,1.7404709888593696e-10,1.5662672394755828e-10
383,CZE,2918.0,4.4298386884037714e-08,3.438358787853608e-08
384,CZE,2919.0,1.0982537488698001e-08,8.524442297650218e-09
385,DEU,2511.0,4.933581548817335e-10,4.049863285301951e-10
386,DEU,2514.0,1.394536953130853e-09,1.1447432155723334e-09
387,DEU,2555.0,1.2159163284374162e-09,1.0942152574591625e-09
388,DEU,2903.0,3.6945219281390325e-08,3.324737211138823e-08
389,DEU,2905.0,2.974062715768474e-10,2.4413394775370526e-10
390,DEU,2907.0,4.755347742698913e-10,3.4414048908820576e-10
392,DEU,2913.0,4.349601896405287e-10,3.914250222329291e-10
393,DEU,2918.0,3.2613016681428696e-09,2.531361983869733e-09
394,DEU,2919.0,3.6290035951100206e-09,2.8167654129399186e-09
395,DNK,2511.0,3.9490062775041337e-10,3.241648157315794e-10
396,DNK,2514.0,1.343405018405986e-08,1.1027701898708863e-08
397,DNK,2903.0,5.088947584718403e-08,4.579594797254537e-08
398,DNK,2905.0,2.0352776013568e-10,1.6707124330615792e-10
399,DNK,2907.0,4.2717456930365586e-10,3.091426182909788e-10
401,DNK,2913.0,5.129148162735216e-10,4.615771699230352e-10
402,DNK,2918.0,4.614376041411101e-09,3.5815932652310735e-09
403,DNK,2919.0,2.5305673276878907e-08,1.9641795156532346e-08
404,ESP,2511.0,1.0160703676532756e-09,8.340687260411615e-10
405,ESP,2514.0,9.519401583529124e-10,7.814257165855806e-10
406,ESP,2555.0,3.046177733550816e-09,2.7412857900075764e-09
407,ESP,2805.0,1.940388774218294e-09,1.5928203837641029e-09
408,ESP,2903.0,6.465162138347956e-09,5.818064029799526e-09
409,ESP,2905.0,3.5239644124162706e-10,2.8927410951535724e-10
410,ESP,2907.0,1.1097672278711252e-09,8.031291447823199e-10
412,ESP,2913.0,4.525738167358894e-10,4.0727570131025335e-10
413,ESP,2918.0,5.558488627245319e-10,4.314395977601623e-10
414,ESP,2919.0,3.747899046846136e-10,2.90904986166778e-10
415,EST,2511.0,4.78261522881732e-10,3.925938515713057e-10
416,EST,2903.0,1.8618088336042319e-09,1.6754603787746194e-09
417,EST,2905.0,2.2738982539561174e-10,1.8665906222664223e-10
418,EST,2907.0,7.653611834336461e-10,5.53885407014407e-10
419,EST,2913.0,1.4130381160827801e-09,1.2716071244607118e-09
420,EST,2918.0,2.862546646969915e-09,2.221855717910233e-09
421,EST,2919.0,3.416497949151254e-08,2.6518224643030864e-08
422,FIN,2511.0,9.556074275974364e-10,7.844360933116479e-10
423,FIN,2903.0,3.0346963051481344e-08,2.730953537827211e-08
424,FIN,2905.0,2.0897817784811127e-10,1.7154536547576637e-10
425,FIN,2907.0,6.487064933894251e-10,4.694633957158884e-10
427,FIN,2913.0,2.4466608608667873e-09,2.2017745639036407e-09
428,FIN,2918.0,3.235668560758067e-09,2.5114660404198624e-09
429,FIN,2919.0,4.6442402745216664e-08,3.604773330145632e-08
430,FRA,2511.0,4.506218306028422e-10,3.699050657734601e-10
431,FRA,2514.0,7.24291026118129e-10,5.945537953563663e-10
432,FRA,2555.0,6.259510536887496e-10,5.632996098087375e-10
433,FRA,2805.0,5.5728328040772685e-09,4.574609894462792e-09
434,FRA,2903.0,1.3700284929547975e-08,1.2329023347119905e-08
435,FRA,2905.0,5.792045250408291e-10,4.754556334851528e-10
436,FRA,2907.0,7.41625480151399e-10,5.367080795540833e-10
438,FRA,2913.0,4.76479377709249e-10,4.2878855457441345e-10
439,FRA,2918.0,2.7078002636025114e-09,2.1017444396976173e-09
440,FRA,2919.0,1.2303388928073711e-09,9.54966273421267e-10
441,GBR,2511.0,2.623800091134611e-10,2.1538169688520132e-10
442,GBR,2903.0,2.332231046246328e-09,2.098798029961671e-09
443,GBR,2905.0,1.4206165358780492e-10,1.1661513434443015e-10
444,GBR,2907.0,6.290150532613053e-10,4.552128672514944e-10
446,GBR,2913.0,3.1937938162301983e-10,2.8741269782838364e-10
447,GBR,2918.0,9.232443080371309e-09,7.166051414434591e-09
448,GBR,2919.0,1.703341581264815e-08,1.3221022043059345e-08
449,GRC,2511.0,7.437792993964559e-10,6.105512693340179e-10
450,GRC,2514.0,4.117866741273306e-10,3.380261816741727e-10
451,GRC,2555.0,7.124368515614707e-10,6.411290437694406e-10
452,GRC,2805.0,1.6350163800218334e-09,1.3421472297148984e-09
453,GRC,2903.0,4.629994386185215e-09,4.166578226500799e-09
454,GRC,2905.0,6.983988088452233e-10,5.732994714800865e-10
455,GRC,2907.0,6.899212660437403e-10,4.992901776598421e-10
457,GRC,2913.0,2.2650317844918446e-10,2.0383247426292755e-10
458,GRC,2918.0,3.5372405029257357e-10,2.7455405994408635e-10
459,GRC,2919.0,3.5105830506820737e-10,2.7248495784735034e-10
460,HRV,2511.0,7.019953229190503e-10,5.762517669187126e-10
461,HRV,2514.0,3.198427305861428e-10,2.6255151938900313e-10
462,HRV,2555.0,5.46363352452631e-10,4.916778419601409e-10
463,HRV,2903.0,4.230113819776052e-08,3.806721707846572e-08
464,HRV,2905.0,8.181390772208834e-10,6.715914956147712e-10
465,HRV,2907.0,1.2228393450366056e-09,8.84958478427397e-10
467,HRV,2913.0,6.539869353510793e-10,5.885293799448653e-10
468,HRV,2918.0,3.2624174699727083e-10,2.5322280485951083e-10
469,HRV,2919.0,1.2013612521859845e-09,9.324743651848272e-10
470,HUN,2511.0,4.941826244879405e-10,4.056631166110215e-10
471,HUN,2514.0,4.5361560087785005e-10,3.723625827317617e-10
472,HUN,2555.0,6.078046278182873e-10,5.46969459788194e-10
473,HUN,2805.0,5.5923157149527755e-09,4.590602966567669e-09
