,ISO3,Supply-BaU2,Supply-HalfW2,Iron- 5 (mg/day),Iron- 10 (mg/day),Iron- 15 (mg/day),IrL2030,IrM2030,IrH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
42,DJI,470695491.5711902,575516300.9835461,11494663998.666666,5747331999.333333,3826555857.388889,14258607280.353985,7129303640.176992,4746034429.343793,5276636507.762143,11023968507.095476,3355860365.8176985,5171815698.349787,10919147697.68312,3251039556.4053426,6658608148.605803,13787911788.782795,4275338937.7726026,6553787339.193446,13683090979.37044,4170518128.3602467
43,DNK,78755250868.78006,101590479936.92769,67084488240.33333,33542244120.166664,22319931737.555557,69567459671.0272,34783729835.5136,23144257258.614407,-45213006748.613396,-11670762628.446732,-56435319131.2245,-68048235816.761024,-34505991696.59436,-79270548199.37213,-43971521033.26646,-9187791197.752853,-55610993610.16565,-66806750101.414085,-32023020265.900482,-78446222678.31328
44,DZA,401446693758.0001,456358934287.2316,483857745510.6667,241928872755.33334,161070908452.72223,599843693855.6984,299921846927.8492,199630536159.7318,-159517821002.66678,82411051752.66656,-240375785305.2779,-214430061531.8983,27498811223.43506,-295288025834.5094,-101524846830.15094,198397000097.69824,-201816157598.2683,-156437087359.38245,143484759568.46674,-256728398127.49982
45,ECU,65003829582.52201,79314522588.88394,197024159472.66666,98512079736.33333,65582655736.333336,239126937726.26407,119563468863.13203,79584082060.35217,33508250153.811317,132020329890.14465,578826153.8113251,19197557147.449387,117709636883.78271,-13731866852.550606,54559639280.61002,174123108143.74207,14580252477.830162,40248946274.24809,159812415137.38013,269559471.4682312
46,EGY,785588332207.5405,904430243666.6921,1121578445559.3335,560789222779.6667,373367118854.5,1469277369208.307,734638684604.1534,489037452230.74335,-224799109427.87378,335990113351.79297,-412221213353.0405,-343641020887.0254,217148201892.64136,-531063124812.19214,-50949647603.387085,683689037000.7664,-296550879976.7972,-169791559062.5387,564847125541.6147,-415392791435.9488
47,ESP,575992646728.0795,682759942622.5166,546874149319.0,273437074659.5,181957153518.8333,509103249568.271,254551624784.1355,169341734760.50455,-302555572068.57947,-29118497409.079468,-394035493209.24615,-409322867963.0166,-135885793303.5166,-500802789103.6833,-321441021943.944,-66889397159.80847,-406650911967.57495,-428208317838.3811,-173656693054.2456,-513418207862.0121
48,EST,8074368321.572649,12498714717.860098,15362997971.0,7681498985.5,5111445290.5,14282679061.12633,7141339530.563165,4751407371.5210705,-392869336.072649,7288629649.427351,-2962923031.072649,-4817215732.360098,2864283253.139902,-7387269427.360098,-933028791.0094843,6208310739.55368,-3322960950.0515785,-5357375187.296933,1783964343.2662315,-7747307346.339027
49,ETH,901180843457.5074,1033537725334.9989,1169649677700.6667,584824838850.3334,389417304933.2222,1711433706711.463,855716853355.7314,569739775029.5171,-316356004607.1741,268468834243.1593,-511763538524.2852,-448712886484.6655,136111952365.66785,-644120420401.7766,-45463990101.776,810252863253.9554,-331441068427.99036,-177820871979.26746,677895981376.464,-463797950305.4818
50,FIN,40747766585.97313,51650805498.72878,63263353756.33333,31631676878.166664,21047342569.22222,65352984320.32673,32676492160.163364,21741457729.52168,-9116089707.806465,22515587170.3602,-19700424016.750908,-20019128620.56212,11612548257.604546,-30603462929.50656,-8071274425.809765,24605217734.3536,-19006308856.45145,-18974313338.56542,13702178821.597946,-29909347769.207104
51,FJI,4663787224.190935,5368220652.399977,10936409882.0,5468204941.0,3640122674.166667,11953813057.10429,5976906528.552145,3978207943.0977254,804417716.8090649,6272622657.809065,-1023664550.0242682,99984288.60002327,5568189229.600023,-1728097978.2333097,1313119304.3612099,7290025832.913355,-685579281.0932097,608685876.1521683,6585592404.704313,-1390012709.3022513
52,FRA,622476861858.69,842984812250.7902,742008467880.0001,371004233940.00006,246884261403.61108,763265299046.3488,381632649523.1744,253932905366.8349,-251472627918.68988,119531606021.31018,-375592600455.07886,-471980578310.7901,-100976344370.79004,-596100550847.1791,-240844212335.51556,140788437187.6588,-368543956491.85504,-461352162727.6158,-79719513204.4414,-589051906883.9553
53,GAB,4132659257.585829,5194976011.632992,22582430839.666664,11291215419.833332,7517870304.722222,31639478328.1687,15819739164.08435,10531814438.774754,7158556162.247503,18449771582.080833,3385211047.1363935,6096239408.20034,17387454828.033672,2322894293.0892305,11687079906.498522,27506819070.58287,6399155181.188925,10624763152.451359,26444502316.53571,5336838427.141762
54,GBR,487681929332.3859,591258886147.2251,766427178630.9999,383213589315.49994,255021789657.38892,811467677364.6947,405733838682.34735,269976595763.27072,-104468340016.88599,278745249298.61395,-232660139674.997,-208045296831.72516,175168292483.77478,-336237096489.8362,-81948090650.03857,323785748032.3088,-217705333569.1152,-185525047464.87775,220208791217.4696,-321282290383.95435
55,GEO,31822297807.515343,36116771699.52124,47856522716.33333,23928261358.166664,15924655550.444447,43977583770.17163,21988791885.085815,14631666298.734869,-7894036449.348679,16034224908.817986,-15897642257.070896,-12188510341.354576,11739751016.812088,-20192116149.076794,-9833505922.429527,12155285962.656288,-17190631508.78047,-14127979814.435425,7860812070.650391,-21485105400.78637
56,GHA,146157215653.63898,191980624747.05267,327569291537.0,163784645768.5,109059667633.77779,456260480620.9092,228130240310.4546,151885123944.47797,17627430114.861023,181412075883.36102,-37097548019.86119,-28195978978.552673,135588666789.94733,-82920957113.27489,81973024656.81561,310103264967.2702,5727908290.838989,36149615563.40192,264279855873.8565,-40095500802.57471
57,GIN,50018582558.79037,57548033766.25886,139565136529.3333,69782568264.66666,46466379604.0,211471157128.41498,105735578564.20749,70401815207.59732,19763985705.87629,89546553970.54294,-3552202954.790367,12234534498.407799,82017102763.07446,-11081654162.258858,55716996005.41712,161452574569.6246,20383232648.806953,48187544797.94863,153923123362.15613,12853781441.338463
58,GMB,10333400713.50637,11343810877.589417,22635677623.666664,11317838811.833332,7537164484.555556,35959086609.68784,17979543304.84392,11972204264.254786,984438098.3269615,12302276910.160294,-2796236228.9508142,-25972065.756084442,11291866746.077248,-3806646393.03386,7646142591.337551,25625685896.181473,1638803550.748415,6635732427.254505,24615275732.098427,628393386.665369
59,GRC,140154294305.38562,165504180012.49182,132043829072.33334,66021914536.16667,43932633452.611115,120289178651.44861,60144589325.724304,40012101329.46419,-74132379769.21895,-8110465233.052277,-96221660852.7745,-99482265476.32515,-33460350940.158478,-121571546559.8807,-80009704979.66132,-19865115653.93701,-100142192975.92143,-105359590686.76752,-45215001361.04321,-125492078683.02763
60,GRD,736097347.4411191,823211677.7179686,1319560458.6666667,659780229.3333334,439221768.5555555,1386447911.7987318,693223955.8993659,461417787.0620748,-76317118.1077857,583463111.2255477,-296875578.88556355,-163431448.3846352,496348780.94869816,-383989909.16241306,-42873391.54175317,650350564.3576127,-274679560.3790443,-129987721.81860268,563236234.0807632,-361793890.6558938
61,GTM,99801474580.35341,115436741221.5017,196970810975.33334,98485405487.66667,65575231697.16666,263335091641.208,131667545820.604,87657490334.39243,-1316069092.686737,97169336394.97993,-34226242883.186752,-16951335733.835022,81534069753.83165,-49861509524.33504,31866071240.250595,163533617060.8546,-12143984245.960983,16230804599.10231,147898350419.7063,-27779250887.10927
62,GUY,6335448289.861109,7451232573.032817,9581115753.0,4790557876.5,3189200676.5,10150281987.74121,5075140993.870605,3378067333.643716,-1544890413.3611088,3245667463.138891,-3146247613.361109,-2660674696.532817,2129883179.967183,-4262031896.532817,-1260307295.9905033,3814833697.880102,-2957380956.217393,-2376091579.1622114,2699049414.708394,-4073165239.389101
63,HND,32820069073.91412,37460610807.41181,110402136019.66666,55201068009.83333,36753003886.666664,139392926292.7044,69696463146.3522,46396854752.984985,22380998935.91921,77582066945.75253,3932934812.7525444,17740457202.421516,72941525212.25485,-707606920.7451477,36876394072.43808,106572857218.79028,13576785679.070866,32235852338.94039,101932315485.2926,8936243945.573174
64,HRV,33027100998.151928,40773589267.23236,50032560955.33333,25016280477.666664,16645873987.055555,44436320781.60261,22218160390.801304,14781957043.571121,-8010820520.485264,17005459957.1814,-16381227011.096373,-15757308789.565697,9258971688.100967,-24127715280.176804,-10808940607.350624,11409219783.45068,-18245143954.580807,-18555428876.431057,3662731514.370247,-25991632223.66124
65,HUN,123102191239.20451,160170119791.32172,117444102944.0,58722051472.0,39074932852.77778,106678620023.88043,53339310011.940216,35487610428.843735,-64380139767.20451,-5658088295.204514,-84027258386.42673,-101448068319.32172,-42726016847.32172,-121095186938.54395,-69762881227.2643,-16423571215.324081,-87614580810.36078,-106830809779.3815,-53491499767.441284,-124682509362.47798
66,IDN,1333687916090.2207,1515855545694.8381,3215165139669.6665,1607582569834.8333,1070210954331.9445,3669351813380.305,1834675906690.1526,1221166009772.4355,273894653744.61255,1881477223579.4458,-263476961758.27625,91727024139.99512,1699309593974.8284,-445644591362.8937,500987990599.9319,2335663897290.0845,-112521906317.78516,318820360995.31445,2153496267685.467,-294689535922.4026
67,IND,6596242626288.324,7654551210834.55,16082054293213.666,8041027146606.833,5352852117986.278,18724637064726.805,9362318532363.402,6231593633436.1045,1444784520318.5088,9485811666925.342,-1243390508302.046,386475935772.2832,8427503082379.116,-2301699092848.2715,2766075906075.078,12128394438438.48,-364648992852.2197,1707767321528.8525,11070085853892.254,-1422957577398.4453
68,IRL,46259240731.61903,57471592394.44985,56646618767.0,28323309383.5,18851085435.055557,61438282979.26579,30719141489.632896,20441035625.59703,-17935931348.119034,10387378035.380966,-27408155296.563477,-29148283010.949852,-824973627.449852,-38620506959.394295,-15540099241.986137,15179042247.646759,-25818205106.022003,-26752450904.816956,3966690584.815941,-37030556768.85282
69,IRN,739197729567.4778,828610852069.4669,1009804632823.6667,504902316411.8334,336140451044.94446,1127512067703.081,563756033851.5405,375220939268.5667,-234295413155.6444,270606903256.18896,-403057278522.5333,-323708535657.63354,181193780754.19983,-492470401024.52246,-175441695715.93726,388314338135.6033,-363976790298.9111,-264854818217.9264,298901215633.61414,-453389912800.9002
70,ISL,7301826072.676827,8946172819.645468,3931243206.6666665,1965621603.3333333,1308186965.3888888,4266110700.3714285,2133055350.1857142,1419426633.9535172,-5336204469.343494,-3370582866.010161,-5993639107.287939,-6980551216.312135,-5014929612.978802,-7637985854.256578,-5168770722.491114,-3035715372.305399,-5882399438.72331,-6813117469.459753,-4680062119.274039,-7526746185.691951
71,ISR,72205528047.70303,80884165435.18779,94077182130.33334,47038591065.16667,31311126886.388893,117743247464.3484,58871623732.1742,39183364193.38343,-25166936982.53636,21871654082.63031,-40894401161.31414,-33845574370.02112,13193016695.145554,-49573038548.7989,-13333904315.528831,45537719416.64537,-33022163854.319603,-22012541703.013588,36859082029.160614,-41700801241.80436
72,ITA,597153228352.1981,714287307712.7035,687135545905.3334,343567772952.6667,228601534043.61115,633676996933.8037,316838498466.90186,210769887070.8338,-253585455399.53143,89982317553.13525,-368551694308.587,-370719534760.0368,-27151761807.370117,-485685773669.09235,-280314729885.29626,36523768581.60559,-386383341281.3643,-397448809245.80164,-80610310778.89978,-503517420641.8697
73,JAM,17910290682.05636,20087244977.908333,35883478889.33333,17941739444.666664,11943178894.333332,35397981735.739395,17698990867.869698,11779439434.640526,31448762.610305786,17973188207.27697,-5967111787.723026,-2145505533.2416687,15796233911.424995,-8144066083.575001,-211299814.18666077,17487691053.683037,-6130851247.4158325,-2388254110.0386353,15310736757.831062,-8307805543.267807
74,JOR,47643694773.50943,53395542399.72819,107793166900.66667,53896583450.333336,35886058932.38889,137219995043.22043,68609997521.610214,45674135154.7168,6252888676.823906,60149472127.15724,-11757635841.120537,501041050.6051483,54397624500.938484,-17509483467.339294,20966302748.100784,89576300269.711,-1969559618.792633,15214455121.882027,83824452643.49225,-7721407245.011391
75,JPN,605280694803.9293,690491934103.272,1456230103510.3333,728115051755.1666,484440770648.3889,1316407217427.8022,658203608713.9011,437844175261.0779,122834356951.2373,850949408706.4039,-120839924155.5404,37623117651.89465,765738169407.0613,-206051163454.88306,52922913909.9718,711126522623.8729,-167436519542.85144,-32288325389.37085,625915283324.5303,-252647758842.1941
