,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
1503,BEN,976.0,2.1861550903377506e-08,1.8492869315672977e-08,2.923874176666745e-07,2.4733296957543554e-07,1.7619110128518536e-06,1.4904153072452168e-06,1.4207645706691133e-06,1.2018366697699805e-06,2.9691645630218034e-09,2.5116412135337748e-09,2.2440746368889975e-07,1.898281561908449e-07,7.61182772154657e-08,6.438908928745308e-08
1504,BEN,1016.0,1.2539997358991804e-08,1.0607688969719533e-08,1.5273216142265731e-07,1.2919741668707987e-07,1.410245229188474e-06,1.1929382705599618e-06,9.958748006205365e-07,8.424188486921204e-07,2.3428665060647274e-08,1.9818504328541777e-08,3.0125664027658784e-06,2.548355193891086e-06,5.736248807379455e-07,4.852340990165726e-07
1505,BEN,1049.0,5.716997280989158e-09,4.836055962482352e-09,1.1563321385882259e-07,9.781510570286666e-08,4.089334525695774e-07,3.459202382575611e-07,7.122816117473867e-07,6.025249910319173e-07,5.793223911402347e-07,4.900536708648782e-07,2.9964952128105402e-06,2.534760439479334e-06,5.793223911402347e-07,4.900536708648782e-07
1506,BEN,1052.0,6.661817583100341e-09,5.635287382565972e-09,7.58471244073749e-08,6.41597188522647e-08,5.443656653619136e-07,4.6048348326110515e-07,7.384805756233698e-07,6.246869143696501e-07,5.9539994648959294e-09,5.036538098168338e-09,1.0703819434778488e-06,9.054450659094715e-07,2.026893434858189e-08,1.714566161078583e-08
1507,BEN,1053.0,1.2217361533629168e-09,1.0334768618306418e-09,1.0017675721380796e-08,8.474035935559537e-09,2.1305886762782055e-07,1.802282835742377e-07,1.188491609051669e-07,1.005355022894136e-07,inf,inf,3.1197905211978763e-07,2.6390569752246707e-07,1.7470826993089712e-07,1.4778719124178177e-07
1508,BEN,2731.0,2.10058535826346e-08,1.7769027773222053e-08,3.6048223007404937e-07,3.049349426692246e-07,2.1753280481919316e-06,1.8401282457831625e-06,1.689371854960734e-06,1.42905382502109e-06,inf,inf,2.2835160184173896e-06,1.9316453574350263e-06,9.273343940768283e-07,7.844399437801147e-07
1509,BEN,2735.0,1.222427296908772e-10,1.0340615059543983e-10,7.917399060920867e-10,6.697394288299146e-10,5.0478342852522755e-09,4.270005370475425e-09,6.8671041739362e-09,5.808941031996721e-09,inf,inf,4.359246670978445e-09,3.6875233306861226e-09,2.898899018383659e-09,2.4522029998347165e-09
1510,BFA,960.0,3.472717686071198e-08,3.005209381885074e-08,6.724945156728115e-07,5.819611642697631e-07,7.061192786174728e-05,6.11059254641537e-05,5.725291246494904e-06,4.954534322499552e-06,4.605125627181371e-08,3.985168962934554e-08,4.707461876934999e-06,4.073728381138937e-06,4.2367155770068616e-07,3.66635544589979e-07
1511,BFA,976.0,1.2603909008860318e-08,1.0661752370527244e-08,1.970272541938628e-07,1.6666700727394712e-07,2.103647886904087e-06,1.7794933959922592e-06,1.349162784436603e-06,1.141268118095909e-06,3.3608995176844263e-09,2.843013098125812e-09,2.5403753306742696e-07,2.148924804582861e-07,7.395045775170413e-08,6.25553126162325e-08
1512,BFA,1016.0,1.8902756502261033e-08,1.599000030909493e-08,2.1798677362928233e-07,1.843968406033217e-07,1.6831281277023374e-06,1.423772203751741e-06,1.3223510856167248e-06,1.1185878771286232e-06,4.2477422131441196e-08,3.593200774342393e-08,3.7064824243683824e-06,3.135344578142148e-06,8.166426412884391e-07,6.908048614528949e-07
1513,BFA,1049.0,4.07956168135526e-09,3.450935451559128e-09,8.251409003098058e-08,6.979936100548337e-08,2.918086473251762e-07,2.468433828879941e-07,5.082732467411353e-07,4.2995260355405307e-07,4.1339558371066626e-07,3.4969479242465835e-07,2.1382530807205984e-06,1.808766219760376e-06,4.1339558371066626e-07,3.4969479242465835e-07
1514,BFA,1052.0,1.0667620205885734e-09,9.023829427682518e-10,1.2145458905073935e-08,1.0273945581587652e-08,8.716969653952342e-08,7.373757760906287e-08,1.1825346779471146e-07,1.0003160048973857e-07,9.534185559010376e-10,8.065047550991252e-10,1.7140109145626772e-07,1.4498962122466652e-07,3.2456801903014036e-09,2.7455481024651067e-09
1515,BFA,1053.0,1.1839365607829981e-09,1.001501869349293e-09,9.707736410979251e-09,8.211855672668855e-09,2.0646698740089722e-07,1.7465215678799814e-07,1.1517205775297261e-07,9.742500988407961e-08,inf,inf,3.023266561985104e-07,2.557406548343137e-07,1.693029281919687e-07,1.432147673169489e-07
1516,BFA,2731.0,3.021806422361507e-08,2.55617140398576e-08,5.164837426202415e-07,4.368979308997779e-07,3.350155810207955e-06,2.833924905837611e-06,2.436403983730551e-06,2.0609745699401932e-06,inf,inf,3.2865591203348084e-06,2.7801279323323236e-06,1.318584016366795e-06,1.115401281646448e-06
1517,BFA,2735.0,4.345681408786533e-08,3.676048361592823e-08,2.894565019450459e-07,2.4485368337772316e-07,1.7348864745273663e-06,1.4675550235553745e-06,2.341824027900781e-06,1.9809685918294713e-06,4.239958984495804e-06,3.5866168759317337e-06,1.723501294877634e-06,1.4579242045742093e-06,1.5257702355487768e-06,1.2906618426320285e-06
1518,CIV,960.0,3.0140466575133545e-08,2.6082861065639688e-08,5.836725096570786e-07,5.050966593124603e-07,6.128561673927848e-05,5.303515201889539e-05,4.969103884834088e-06,4.300147309457624e-06,3.996887958876405e-08,3.4588141847913505e-08,4.0857077995301746e-06,3.535676815894607e-06,3.6771369221662926e-07,3.182109050008042e-07
1519,CIV,976.0,1.4226693120280361e-08,1.2034479064652361e-08,1.8906133343278732e-07,1.5992856807241658e-07,1.1220525013635618e-06,9.491536243128362e-07,9.173576896581123e-07,7.760005658132065e-07,1.8551203392133574e-09,1.569261858389898e-09,1.407247211219013e-07,1.1904022220078569e-07,4.800802058676371e-08,4.061038737549024e-08
1520,CIV,1016.0,3.55233907998109e-08,3.004953429946226e-08,2.6549956043822746e-07,2.2458830557141353e-07,1.4961366343471927e-06,1.2655945307658335e-06,1.3166908918142552e-06,1.1137998717051707e-06,inf,inf,3.581036365609844e-06,3.0292287046141866e-06,1.0295673127273485e-06,8.709196273450997e-07
