,ISO3,Supply-BaU2,Vitamin B12 (ug/day),VB122030,BaU_needed2030
126,SLB,1037011410.1759897,435055546.7728571,596729118.8523898,-440282291.32359993
127,SLE,12317576257.872654,5281374621.140989,7410532279.498562,-4907043978.374092
128,SLV,5436840961.386573,4943566056.518778,5390283696.585692,-46557264.80088043
129,STP,276758635.67950666,141431166.90238097,202494463.51460987,-74264172.16489679
130,SUR,1221480585.8620849,434588205.9403116,493910034.946305,-727570550.9157798
131,SVK,7484612406.928981,4424552060.890054,4369128294.531835,-3115484112.397146
132,SVN,3971485454.366702,1656392903.909905,1632212096.6775095,-2339273357.689193
133,SWE,16891480313.715342,7669515173.14224,8449350942.764933,-8442129370.950409
134,SWZ,598757516.5364791,986837641.7580304,1294218905.391575,695461388.855096
135,SYC,1339260527.8229957,74338873.7168762,78688952.57040907,-1260571575.2525866
136,SYR,41732868172.84594,14761634095.773043,20864086373.276505,-20868781799.569435
137,TGO,3310141765.5526934,5396781007.014965,7994243605.852402,4684101840.299708
138,THA,105189646585.1495,55810914604.48017,56823885484.63934,-48365761100.51016
139,TON,47171172.79839471,80633889.62875257,93458579.95409194,46287407.15569723
140,TTO,1552044775.9392877,1095044852.0924077,1122101747.3292122,-429943028.6100755
141,TUN,18177278250.391827,8864198474.061861,10312421616.345083,-7864856634.046743
142,TUR,117324397292.4864,61283988090.8779,71234380555.49496,-46090016736.99144
143,TZA,23700713290.75316,38266189814.0781,62296903168.7542,38596189878.001045
144,UGA,17391596786.922585,28048330616.78855,47003346374.612854,29611749587.69027
145,UKR,91313366082.31091,36369691642.75963,33356248336.4733,-57957117745.837616
146,URY,13969381569.681433,2688721107.335352,2827246012.588348,-11142135557.093084
147,USA,810818365534.2708,253824717736.2398,280817328885.406,-530001036648.86475
148,VCT,3001823227.7545104,87404277.65885046,90211244.6900513,-2911611983.0644593
149,VEN,42719519530.401596,24253900133.25243,29351810830.304287,-13367708700.09731
150,VUT,2093767018.0878975,197630161.4084762,275625680.0666864,-1818141338.0212111
151,YEM,23879464163.354362,19733982282.304928,28382314545.79635,4502850382.441986
152,ZAF,113522496932.47984,42950375786.58343,51450113976.52929,-62072382955.950554
153,ZMB,8038464457.5265045,11473648753.700857,18488221310.270622,10449756852.744118
154,ZWE,6189901378.347709,11467982918.085552,16480672728.321209,10290771349.9735
