,ISO3,Supply-BaU2,Supply-HalfW2,Zinc - low (mg/day),Zinc - mod (mg/day),Zinc - high (mg/day),ZnL2030,ZnM2030,ZnH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
36,CPV,2797162397.6680827,3001690766.512971,2321956225.619086,1160121038.059543,692292994.3023924,2767002125.544153,1382705654.7720766,827403013.3020306,-1637041359.6085398,-475206172.0489969,-2104869403.3656902,-1841569728.453428,-679734540.8938851,-2309397772.2105784,-1414456742.896006,-30160272.1239295,-1969759384.3660522,-1618985111.7408943,-234688640.9688177,-2174287753.2109404
37,CRI,20451211476.503643,23463939357.693592,20853574390.176266,10421751436.08813,6243225584.819545,23411412539.953327,11701286904.726664,7023482707.016433,-10029460040.415512,402362913.6726227,-14207985891.684097,-13042187921.605461,-2610364967.5173264,-17220713772.874046,-8749924571.77698,2960201063.449684,-13427728769.48721,-11762652452.966928,-52526817.74026489,-16440456650.677158
38,CUB,23583793283.5568,27800766820.828747,49241407819.66718,24610967486.166924,14776475872.866823,48644461647.62281,24314755021.561405,14613602383.915592,1027174202.6101227,25657614536.110382,-8807317410.689978,-3189799334.6618233,21440640998.838436,-13024290947.961924,730961738.0046043,25060668364.06601,-8970190899.641209,-3486011799.2673416,20843694826.794064,-13187164436.913155
39,CYP,7188785933.818886,8105879509.645515,4994274061.305715,2496211585.3195243,1498679005.0250478,5502584816.213993,2750493715.1069965,1653053350.5797002,-4692574348.499361,-2194511872.513171,-5690106928.7938385,-5609667924.325991,-3111605448.339801,-6607200504.620468,-4438292218.711889,-1686201117.6048927,-5535732583.239185,-5355385794.538519,-2603294693.4315224,-6452826159.065815
40,CZE,86875155556.59251,111377618466.59819,45099990119.05551,22540530159.361084,13551306482.749983,44845718811.719315,22417046744.359657,13478386250.351824,-64334625397.23143,-41775165437.537,-73323849073.84253,-88837088307.2371,-66277628347.54268,-97826311983.8482,-64458108812.23286,-42029436744.8732,-73396769306.24069,-88960571722.23853,-66531899654.878876,-97899232216.24637
41,DEU,606842702526.1937,752208632534.0492,342821891622.3219,171361838236.66095,103051862556.72992,341497707145.9023,170694550369.45114,102642413176.95778,-435480864289.5328,-264020810903.87183,-503790839969.4638,-580846794297.3882,-409386740911.7273,-649156769977.3193,-436148152156.74255,-265344995380.29144,-504200289349.23596,-581514082164.598,-410710925388.1469,-649566219357.0914
42,DJI,481281874.09038836,579278715.3477727,4053379145.736869,2024932103.9517677,1207536218.4377272,4987275690.61286,2491973007.3064303,1490315016.631061,1543650229.8613794,3572097271.6464806,726254344.3473389,1445653388.6039948,3474100430.3890963,628257503.0899545,2010691133.216042,4505993816.522471,1009033142.5406728,1912694291.9586577,4407996975.265087,911036301.2832884
43,DNK,60484458739.78731,77187871404.86105,24310026965.63937,12151671676.65302,7299733720.825144,25576476475.534775,12782207342.767384,7675958935.950361,-48332787063.134285,-36174431774.147934,-53184725018.962166,-65036199728.20803,-52877844439.22168,-69888137684.0359,-47702251397.01993,-34907982264.25253,-52808499803.836945,-64405664062.09367,-51611394929.32628,-69511912468.91069
44,DZA,327811197561.164,369070425655.5272,169859592945.30362,84823043499.15181,50607676081.024414,214779873468.3572,107346466840.1786,64257696278.990105,-242988154062.0122,-157951604615.86038,-277203521480.1396,-284247382156.3754,-199210832710.2236,-318462749574.5028,-220464730720.9854,-113031324092.8068,-263553501282.1739,-261723958815.34863,-154290552187.17,-304812729376.5371
45,ECU,59634167314.57821,70277279959.59326,69741866004.38533,34842998937.776,20808549833.332268,85081538866.00485,42515844367.752426,25447722053.393883,-24791168376.802208,10107698689.807121,-38825617481.24594,-35434281021.81726,-535413955.2079315,-49468730126.260994,-17118322946.825783,25447371551.426643,-34186445261.184326,-27761435591.840836,14804258906.41159,-44829557906.19938
46,EGY,612833865693.3369,702745320804.1537,401914851687.0268,200672689769.34674,119431187037.40805,529438583040.8998,264536808657.19986,157965114925.01263,-412161175923.9902,-210919014006.31012,-493402678655.92883,-502072631034.80695,-300830469117.1269,-583314133766.7456,-348297057036.1371,-83395282652.43713,-454868750768.3243,-438208512146.95386,-173306737763.2539,-544780205879.14105
47,ESP,363770136111.2334,431339650937.5906,194193899535.33563,97065669273.75114,58364036221.11734,189176142230.41647,94565207697.70822,56893466439.02632,-266704466837.48224,-169576236575.89777,-305406099890.1161,-334273981663.8394,-237145751402.25494,-372975614716.47327,-269204928413.52518,-174593993880.81693,-306876669672.2071,-336774443239.8823,-242163508707.1741,-374446184498.5643
48,EST,8307652032.979258,11964745138.409391,5506646242.419734,2752157919.5431995,1654731968.8925867,5240084648.815254,2619359646.6576266,1574666572.3621218,-5555494113.436058,-2801005790.5595236,-6652920064.086671,-9212587218.866192,-6458098895.989657,-10310013169.516804,-5688292386.3216305,-3067567384.1640034,-6732985460.617136,-9345385491.751764,-6724660489.594137,-10390078566.04727
49,ETH,635043408444.6328,715291325121.9253,430840169454.6124,215125367801.1395,127699736924.65039,612724673296.1968,306060283872.8484,182350393032.31967,-419918040643.4933,-204203238990.0204,-507343671519.9824,-500165957320.78577,-284451155667.31287,-587591588197.2749,-328983124571.7844,-22318735148.436035,-452693015412.3131,-409231041249.0769,-102566651825.72852,-532940932089.6056
50,FIN,39063797598.55425,47830971021.40159,23142796496.781525,11566762322.557428,6947535489.201124,24138286113.614952,12064598478.307476,7246164599.710284,-27497035275.996826,-15921001101.772728,-32116262109.353127,-36264208698.84416,-24688174524.620064,-40883435532.20046,-26999199120.246777,-14925511484.9393,-31817632998.843967,-35766372543.09412,-23692684907.786636,-40584806421.69131
51,FJI,2200335961.2738047,2560002613.9908094,3918735857.0981336,1957833249.5490665,1169818568.6961064,4292984642.4839535,2145321820.9919772,1284013143.6219673,-242502711.72473812,1718399895.824329,-1030517392.5776982,-602169364.4417429,1358733243.1073241,-1390184045.294703,-55014140.28182745,2092648681.2101488,-916322817.6518373,-414680792.9988322,1732982028.493144,-1275989470.3688421
52,FRA,553599679722.1091,735193049877.485,269490942875.60504,134684046238.7192,80824116333.36485,281118849260.6814,140498926993.59067,84339854635.9596,-418915633483.38995,-284108736846.5041,-472775563388.74426,-600509003638.7657,-465702107001.87994,-654368933544.1201,-413100752728.51843,-272480830461.42773,-469259825086.14954,-594694122883.8943,-454074200616.8036,-650853195241.5254
53,GAB,2682601458.1726727,3304350166.1108575,8228230240.367619,4108257825.2671432,2442903962.326953,11445637026.44639,5717783137.473196,3409315625.0792704,1425656367.0944705,5545628782.194946,-239697495.8457198,803907659.1562858,4923880074.256762,-861446203.7839046,3035181679.3005233,8763035568.273718,726714166.9065976,2413432971.3623385,8141286860.335533,104965458.96841288
54,GBR,442122815659.6386,526669290620.48004,274646235798.80136,137253378432.23402,82380697344.57373,296831320780.52295,148358549260.01144,89075145540.81758,-304869437227.4046,-167476579860.83725,-359742118315.0649,-389415912188.24603,-252023054821.67868,-444288593275.9063,-293764266399.6272,-145291494879.11566,-353047670118.82104,-378310741360.4686,-229837969839.9571,-437594145079.6625
55,GEO,27050475996.552948,30358374220.359432,16999600169.707071,8494524612.103535,5096420815.728786,16002585521.712864,7998973094.606431,4802864607.367905,-18555951384.449413,-10050875826.845877,-21954055180.82416,-21863849608.255898,-13358774050.65236,-25261953404.630646,-19051502901.946518,-11047890474.840084,-22247611389.185043,-22359401125.753002,-14355788698.646568,-25555509612.991528
56,GHA,105995768573.32076,134160127011.24692,118369471291.06335,59100096470.78168,35118617226.002335,164325025251.58978,82079834504.79489,48900691751.578316,-46895672102.53908,12373702717.7426,-70877151347.31842,-75060030540.46524,-15790655720.183563,-99041509785.24458,-23915934068.525864,58329256678.26903,-57095076821.74244,-52080292506.45203,30164898240.342865,-85259435259.66861
57,GIN,47876021530.34983,54364304024.210266,51938335980.2506,25926852572.8753,15378717901.025183,77472186439.6891,38685458266.34455,22996201990.03142,-21949168957.47453,4062314449.900772,-32497303629.324646,-28437451451.334965,-2425968043.9596634,-38985586123.18508,-9190563264.00528,29596164909.33927,-24879819540.31841,-15678845757.865715,23107882415.478836,-31368102034.178844
58,GMB,8108949876.0029545,8911581219.762856,8384032824.142858,4183982397.071429,2477212967.642857,13149450538.177479,6565363876.83874,3898521602.1596775,-3924967478.9315257,275082948.13990307,-5631736908.360098,-4727598822.691427,-527548395.619998,-6434368252.119999,-1543585999.1642141,5040500662.174524,-4210428273.843277,-2346217342.924115,4237869318.4146233,-5013059617.603178
59,GRC,87347516669.40564,104025514061.93953,47136687565.681526,23561793444.174095,14168634394.771124,44410823166.66089,22200125598.58045,13358810974.04945,-63785723225.231544,-40210829103.72411,-73178882274.63452,-80463720617.76544,-56888826496.258,-89856879667.16841,-65147391070.825195,-42936693502.74475,-73988705695.35619,-81825388463.35909,-59614690895.27864,-90666703087.89008
60,GRD,611675904.5190043,669627934.435435,464498342.8648457,232077195.5990895,138715804.45945367,488292657.04250544,244061429.52125275,146235715.61054924,-379598708.91991484,-147177561.65415865,-472960100.05955064,-437550738.83634555,-205129591.57058936,-530912129.97598135,-367614474.9977516,-123383247.4764989,-465440188.90845513,-425566504.9141823,-181335277.3929296,-523392218.82488585
61,GTM,61239887746.07481,70055315174.43504,70180972828.23901,35055816980.3695,20871054705.421696,92474145878.24559,46201680714.1228,27595826141.24243,-26184070765.705307,8941085082.164207,-40368833040.65311,-34999498194.065544,125657653.80397034,-49184260469.01335,-15038207031.952003,31234258132.170784,-33644061604.832375,-23853634460.31224,22418830703.810547,-42459489033.19261
62,GUY,2705334966.4786973,3550837391.410243,3405797491.8273907,1701762093.3303618,1015824555.1648839,3652796494.522986,1825366958.0114932,1092091545.6909513,-1003572873.1483355,700462525.3486934,-1689510411.3138134,-1849075298.0798812,-145039899.58285236,-2535012836.2453594,-879968008.4672041,947461528.0442886,-1613243420.787746,-1725470433.3987498,101959103.1127429,-2458745845.7192917
63,HND,24795441917.49155,28102073729.655884,38993648301.19387,19482202335.763603,11619887616.924828,48654120772.74066,24311742851.12033,14544620512.217087,-5313239581.727947,14198206383.70232,-13175554300.566723,-8619871393.89228,10891574571.537987,-16482186112.731056,-483699066.37121964,23858678855.24911,-10250821405.274464,-3790330878.535553,20552047043.084778,-13557453217.438797
64,HRV,26732323086.725132,32761128948.880657,18028210757.09971,9011282839.633186,5417155231.279912,16316010849.553963,8155883880.52698,4905267429.349999,-17721040247.091946,-8704112329.625423,-21315167855.44522,-23749846109.24747,-14732918191.780949,-27343973717.600746,-18576439206.19815,-10416312237.17117,-21827055657.375134,-24605245068.353676,-16445118099.326694,-27855861519.53066
65,HUN,104893059125.19917,135165460154.5298,41723670695.65699,20856061826.495163,12544227553.663767,39045876098.94751,19517007073.223755,11739044490.222414,-84036997298.70401,-63169388429.54218,-92348831571.5354,-114309398328.03464,-93441789458.8728,-122621232600.86603,-85376052051.97542,-65847183026.25166,-93154014634.97676,-115648453081.30605,-96119584055.58229,-123426415664.30739
66,IDN,1182480856159.7324,1329372013333.9255,1127664285129.0352,563399687364.6842,336629858220.94385,1303304029668.4214,651312449859.2104,390057939244.4885,-619081168795.0482,-54816571030.697266,-845850997938.7886,-765972325969.2413,-201707728204.89038,-992742155112.9817,-531168406300.522,120823173508.68896,-792422916915.2439,-678059563474.7151,-26067983665.50415,-939314074089.437
67,IND,5113732170007.301,5862067576363.4375,5748916439305.279,2872676121503.2236,1716459338011.4343,6669643641582.241,3333034804242.37,1995591768903.434,-2241056048504.077,635184269297.9785,-3397272831995.866,-2989391454860.214,-113151137058.1582,-4145608238352.003,-1780697365764.9307,1555911471574.9404,-3118140401103.8667,-2529032772121.0674,807576065218.8037,-3866475807460.0034
68,IRL,45562009788.72826,55407421505.356224,20147080046.996174,10066899316.914753,6033961721.815518,22414465811.444286,11203260866.222141,6724548141.127241,-35495110471.81351,-25414929741.732082,-39528048066.912735,-45340522188.44147,-35260341458.36005,-49373459783.5407,-34358748922.506115,-23147543977.28397,-38837461647.60101,-44204160639.13408,-32992955693.911938,-48682873364.22898
69,IRN,618178188176.2091,683143534044.5564,342742582849.4152,171239365155.541,102500926354.45792,390097423858.3596,195013399091.6798,117091780686.26031,-446938823020.6681,-275435605326.7939,-515677261821.7512,-511904168889.0154,-340400951195.1412,-580642607690.0985,-423164789084.5293,-228080764317.8495,-501086407489.9488,-488130134952.8766,-293046110186.1968,-566051753358.2961
70,ISL,5671765723.276027,6811562998.617049,1409972934.977173,704619739.82192,422486136.493152,1550867033.0016375,775117882.7508187,465167047.1830334,-4967145983.454106,-4261792788.298854,-5249279586.782875,-6106943258.795129,-5401590063.639876,-6389076862.123898,-4896647840.5252075,-4120898690.2743893,-5206598676.092994,-6036445115.86623,-5260695965.615412,-6346395951.434016
71,ISR,59011714503.78959,65902756155.040054,34115212540.483616,17040656284.658476,10176689986.295086,42959105219.13672,21465664414.318356,12840291808.776203,-41971058219.13111,-24896501963.305973,-48835024517.49451,-48862099870.38158,-31787543614.55644,-55726066168.744965,-37546050089.47124,-16052609284.65287,-46171422695.01338,-44437091740.721695,-22943650935.903336,-53062464346.263855
72,ITA,480670332663.0795,568499802611.9714,247701954734.27335,123816499308.97002,74471979419.282,237913814056.96213,118921688616.48108,71535336759.92168,-356853833354.1095,-232968377928.80618,-406198353243.79755,-444683303303.0014,-320797847877.6981,-494027823192.68945,-361748644046.59845,-242756518606.1174,-409134995903.15784,-449578113995.49036,-330585988555.0093,-496964465852.04974
73,JAM,12809969775.449303,14155408383.887383,12541277791.765102,6268374527.132553,3753801524.4461985,12593538688.939838,6294112600.719918,3773998262.08052,-6541595248.31675,-268691983.6842003,-9056168251.003105,-7887033856.754829,-1614130592.1222801,-10401606859.441185,-6515857174.729384,-216431086.50946426,-9035971513.368782,-7861295783.167464,-1561869694.947544,-10381410121.806862
74,JOR,38615337778.68278,42830292305.60166,38747001066.35406,19349526743.0937,11513980188.55622,49154946245.29399,24559101030.146996,14663881385.294195,-19265811035.589077,131663287.6712799,-27101357590.126556,-23480765562.50796,-4083291239.2476044,-31316312117.04544,-14056236748.535782,10539608466.611214,-23951456393.38858,-18271191275.454666,6324653939.692329,-28166410920.307465
