,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
20,NZL,960.0,2.551730420862886e-09,2.2791267539816553e-09,4.941446062225583e-08,4.413546913771259e-08,5.188518638393632e-06,4.634224503345689e-06,4.2069068558547715e-07,3.7574791946263593e-07,3.383816427666002e-09,3.022320260714804e-09,3.4590124399133385e-07,3.0894830150184834e-07,3.113111113452722e-08,2.7805346398576195e-08
21,NZL,976.0,1.125804982825874e-08,9.886363901363047e-09,1.6251883279754973e-07,1.4271746406987263e-07,1.2104499900685285e-06,1.0629682110822264e-06,8.041735808700554e-07,7.061927049201235e-07,2.9179627652286256e-09,2.5624368507649116e-09,2.0354838884080966e-07,1.787479602875089e-07,6.1658633201421e-08,5.4146117204048286e-08
22,NZL,1016.0,2.118181686762698e-08,1.8601014637521767e-08,1.4083161203597187e-07,1.236726241793996e-07,8.677032913629861e-07,7.619819265049154e-07,7.083427284623345e-07,6.220379272869287e-07,inf,inf,2.106722253973919e-06,1.8500382534820723e-06,5.58535357530825e-07,4.904831547704839e-07
23,NZL,1049.0,1.207178328568139e-09,1.060095170311547e-09,2.441664793111528e-08,2.144171240853394e-08,8.634875573757984e-08,7.582798394699064e-08,1.5040254232729994e-07,1.3207742795786034e-07,1.2232740396157143e-07,1.0742297725823675e-07,6.327279697318992e-07,5.556361052549796e-07,1.2232740396157143e-07,1.0742297725823675e-07
24,NZL,1052.0,8.558376067511434e-10,7.515619623191979e-10,9.744010643046492e-09,8.556795941168059e-09,6.993415872309345e-08,6.141334892094019e-08,9.487192355386836e-08,8.33126851083504e-08,7.649048610338344e-10,6.717085038227831e-10,1.3751098846351012e-07,1.207565868978451e-07,2.603931441817309e-09,2.2866672470562824e-09
25,NZL,1053.0,3.726997162375348e-10,3.272898127889092e-10,3.059050086648889e-09,2.686334028580568e-09,6.430502318450969e-08,5.647006982433825e-08,3.6341286404568955e-08,3.191344749046965e-08,2.820470658403158e-07,2.4768232267100776e-07,9.469868808009459e-08,8.316055672372969e-08,4.8774702422732534e-08,4.2831970428968077e-08
26,NZL,2511.0,2.4389771628875806e-10,1.9919803560720116e-10,6.831583168572722e-09,5.579543621703152e-09,2.295104951404594e-08,1.8744759269942726e-08,2.6744921885289998e-08,2.184332015520135e-08,inf,inf,inf,inf,1.9928228038227794e-09,1.6275937055710336e-09
27,NZL,2514.0,8.069537620136038e-10,6.590615388486927e-10,3.126731642775568e-08,2.5536885321811377e-08,1.0868565276344531e-07,8.876658977623478e-08,1.332751665388784e-07,1.0884952829298318e-07,5.3552386024539166e-08,4.373772030541325e-08,inf,inf,3.100401296157531e-08,2.5321838071555035e-08
28,NZL,2731.0,7.88796108454681e-09,6.926888307589024e-09,1.3503015580010906e-07,1.185780200178863e-07,8.513184413592194e-07,7.475934141002283e-07,6.353651327162094e-07,5.579519550982315e-07,inf,inf,8.577447764368201e-07,7.532367615803382e-07,3.457403542940324e-07,3.036151918032206e-07
29,NZL,2735.0,1.0387231107863784e-09,9.121646131120647e-10,6.997576532823529e-09,6.144988615833098e-09,4.309290494062853e-08,3.784244574406833e-08,6.062565614135175e-08,5.3238998540212696e-08,1.3292522972276435e-08,1.1672955909405352e-08,3.815592454433431e-08,3.3506989291464464e-08,1.4721192113529174e-08,1.2927555350741901e-08
