,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
104,KAZ,1053.0,1.5877915631704868e-08,1.3909932135142087e-08
105,KAZ,2511.0,4.200750076935853e-11,3.548109959632754e-11
106,KAZ,2514.0,7.866229741766508e-11,6.644110594620203e-11
107,KAZ,2555.0,1.4672829190887043e-10,1.2421094715288227e-10
108,KAZ,2731.0,8.609866502820945e-09,7.542719178311513e-09
109,KAZ,2735.0,1.890793149458051e-08,1.6564393589569066e-08
110,KAZ,2805.0,8.673298031818333e-10,7.325790529296398e-10
111,KAZ,2903.0,3.3098093167645536e-10,2.801876480550139e-10
112,KAZ,2905.0,7.99417971979085e-12,6.75218191118234e-12
113,KAZ,2907.0,3.505403456358058e-11,2.880060933811593e-11
115,KAZ,2913.0,8.447617096231662e-12,7.151221533741452e-12
116,KAZ,2918.0,8.15155424291792e-11,5.826070347522317e-11
117,KAZ,2919.0,4.254070443985382e-10,3.0404647913012594e-10
119,KGZ,960.0,3.0689471223786532e-09,2.744792153778363e-09
120,KGZ,976.0,9.727451719177178e-09,8.521785629811741e-09
121,KGZ,1016.0,2.7757679620433135e-08,2.4317262335004845e-08
122,KGZ,1049.0,1.430346361979766e-09,1.2530625106205842e-09
123,KGZ,1052.0,4.985015005146198e-09,4.3671488136508746e-09
124,KGZ,1053.0,1.2636195498450139e-08,1.1070006032709753e-08
125,KGZ,2511.0,7.00891532858315e-11,5.919990913077187e-11
126,KGZ,2514.0,9.183855338483469e-11,7.75702624471968e-11
127,KGZ,2731.0,5.955122506728899e-09,5.217016631556562e-09
128,KGZ,2735.0,1.601607652459555e-08,1.4030968717551088e-08
129,KGZ,2805.0,1.972982746783097e-09,1.6664547059059881e-09
130,KGZ,2903.0,1.3066983728926256e-10,1.1061686906362122e-10
131,KGZ,2905.0,3.8553005899689115e-11,3.2563304576845e-11
132,KGZ,2907.0,5.060632112980573e-11,4.1578463165351005e-11
134,KGZ,2913.0,2.382752122392345e-10,2.017088143687449e-10
135,KGZ,2918.0,3.06439834435536e-10,2.1901835889218678e-10
136,KGZ,2919.0,6.252613573097459e-10,4.468861452328249e-10
138,LKA,946.0,1.8338465474822392e-08,1.6384634151689297e-08
139,LKA,960.0,7.681210210649352e-09,6.8261095065745626e-09
140,LKA,976.0,1.1820265371859752e-07,1.0560901290225284e-07
141,LKA,1016.0,8.042599864233406e-09,7.185718815176197e-09
142,LKA,1049.0,9.31470440376178e-09,8.322289784622454e-09
143,LKA,1052.0,8.853081206621424e-10,7.909849212020445e-10
144,LKA,1053.0,4.593226076293839e-10,4.103850943220903e-10
145,LKA,2514.0,3.8131564071065237e-10,3.4160496094481403e-10
146,LKA,2555.0,1.4016276686990598e-10,1.1966488287438664e-10
147,LKA,2731.0,1.2532971534245669e-08,1.1197673747788877e-08
148,LKA,2735.0,1.4257722643767126e-08,1.2738665057613991e-08
149,LKA,2805.0,4.086537781532847e-10,3.660960711337109e-10
150,LKA,2903.0,7.85940824540825e-10,6.710021414044292e-10
151,LKA,2905.0,3.5296887100886377e-09,3.1621025870064613e-09
152,LKA,2907.0,1.2384150588860275e-10,9.462272324289293e-11
154,LKA,2913.0,1.1800514368064866e-11,1.0074766653419916e-11
155,LKA,2918.0,1.1768420531732672e-09,8.177106148159219e-10
156,LKA,2919.0,2.917704039926389e-10,2.0273218125625894e-10
158,MDV,2514.0,6.368181243409571e-10,5.70499101712733e-10
159,MDV,2903.0,3.347032032674032e-11,2.857550582877039e-11
160,MDV,2905.0,4.801244941368287e-10,4.301237388599941e-10
161,MDV,2907.0,5.3074478309131015e-11,4.055224971846869e-11
162,MDV,2913.0,8.112251896561139e-11,6.92588834201972e-11
163,MDV,2918.0,5.51659819747547e-10,3.8331234778588593e-10
164,MDV,2919.0,8.558789948238543e-11,5.946943663156183e-11
166,PAK,946.0,3.87299565769549e-09,3.4603558847137645e-09
167,PAK,960.0,4.746633184147973e-09,4.218220438442559e-09
168,PAK,976.0,1.758719468495131e-08,1.571340584974722e-08
169,PAK,1016.0,1.7954585816463715e-08,1.6041654104142904e-08
170,PAK,1052.0,1.932960273130089e-09,1.7270172877042564e-09
171,PAK,1053.0,1.8725812804633805e-09,1.6730712415288126e-09
172,PAK,2511.0,1.577183198577201e-10,1.4129334006564149e-10
173,PAK,2514.0,1.2001777272761097e-10,1.0751897427782008e-10
174,PAK,2555.0,0.0,0.0
175,PAK,2731.0,1.871735884820109e-08,1.672315916698202e-08
176,PAK,2735.0,3.832126670586111e-07,3.4238411936205194e-07
177,PAK,2805.0,6.06646643784718e-10,5.434697162465277e-10
178,PAK,2903.0,4.763026818702228e-10,4.0664654324110724e-10
179,PAK,2905.0,1.32640546685003e-10,1.1882719703179346e-10
180,PAK,2907.0,1.1363037189580551e-10,8.682077268630278e-11
182,PAK,2913.0,7.355758739919134e-11,6.280027340510929e-11
183,PAK,2918.0,5.163316337434373e-10,3.5876510066818066e-10
184,PAK,2919.0,3.8068452594292853e-10,2.645127924519098e-10
186,BRN,946.0,1.471066836793919e-08,1.31433526794502e-08
187,BRN,960.0,1.349041601330276e-08,1.1988613053237463e-08
