,ISO3,Supply-BaU2,Protein (g/year),Pr2030,BaU_needed2030
80,KIR,22160890618.859314,1921890745.4542925,2528512170.108325,-19632378448.750988
81,KOR,1510308646481.6912,816564254113.47,843161550560.9968,-667147095920.6943
82,KWT,133210055962.83083,59591389777.59222,78753421846.59738,-54456634116.233444
83,LBN,154372445875.76007,87183067311.01585,84890601767.70914,-69481844108.05093
84,LBY,87018832637.6375,97923114265.85262,119688003031.34625,32669170393.708755
85,LCA,5252616717.524859,3160947003.462198,3386306969.0261583,-1866309748.498701
86,LKA,519409912268.0796,320359896849.6184,339883891290.992,-179526020977.0876
87,LTU,155296711532.00067,55656018802.92335,50090645004.43186,-105206066527.56882
88,LVA,72492158357.42046,37930503150.69991,32665555835.168495,-39826602522.25196
89,MAR,1533063799964.8853,542487121992.62537,660682367276.1663,-872381432688.719
90,MDA,105149439695.93173,77835216452.59117,73964701566.5743,-31184738129.357437
91,MDG,355404289782.53485,343856985168.7188,529973341182.3528,174569051399.81793
92,MDV,20487846900.381042,6326054761.372998,8158934980.2555065,-12328911920.125536
93,MEX,4004246652103.0566,2132428915506.5505,2608667475963.774,-1395579176139.2827
94,MKD,64507058529.793724,39668077019.53909,39723524117.32823,-24783534412.465492
95,MLI,726181221123.0907,236297032425.5821,386608994431.0278,-339572226692.0629
96,MLT,19470412306.418144,8161285418.065604,8393236525.864306,-11077175780.553837
97,MNG,90539875993.73485,44093932175.56063,55097473170.169174,-35442402823.565674
98,MRT,79684587056.14282,59700118044.29174,91303628879.54793,11619041823.405106
99,MUS,43191913379.96967,20886150418.0603,21551266800.738014,-21640646579.23166
100,MWI,420640426378.2393,243497694960.135,390684099985.18567,-29956326393.05365
101,MYS,924246629990.7072,470958388189.72284,579869442505.8911,-344377187484.81604
102,NAM,85586997279.01027,35552915186.76314,49818408886.331505,-35768588392.678764
103,NER,886468255486.7125,262154197284.9276,483849135226.6289,-402619120260.0836
104,NGA,4110161682209.041,2529975425682.018,3858321817703.3003,-251839864505.74072
105,NIC,140381822307.58035,101667242934.56198,123728326836.57959,-16653495471.000763
106,NLD,900074786406.8665,316694415055.8462,327628578027.23175,-572446208379.6348
107,NOR,208622263071.93103,95191021522.58878,110272362840.83884,-98349900231.0922
108,NPL,724393075499.946,426778900836.224,517117076041.63947,-207275999458.30658
109,NZL,297391713332.8405,86689084705.2346,99025886745.39407,-198365826587.44644
110,OMN,145284762291.53992,61678424586.37794,94338083654.82556,-50946678636.714355
111,PAK,4795351115293.487,2721854039934.5967,3678654544121.6143,-1116696571171.873
112,PAN,94579763844.47978,66673235815.69567,85080930552.35269,-9498833292.12709
113,PER,1321431685088.6323,530667304977.6562,646657667805.1366,-674774017283.4957
114,PHL,2415689945248.5103,1499856798914.809,1912090644711.1057,-503599300537.40454
115,PNG,181922033684.02338,134104229031.53188,187163287011.50082,5241253327.4774475
116,POL,1505936722646.6396,727202566095.7517,695073704522.196,-810863018124.4436
