,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
69,IRN,3004014715607.487,3360471402603.935,1218666105364.0696,1423828293908.5393,-1785348610243.4172,-1785348610243.4172,-1785348610243.4172,-2141805297239.8655,-2141805297239.8655,-2141805297239.8655,-1580186421698.9475,-1580186421698.9475,-1580186421698.9475,-1936643108695.3958,-1936643108695.3958,-1936643108695.3958
70,ISL,144683057469.2335,175602274570.2088,6016722856.370003,6714662661.038062,-138666334612.8635,-138666334612.8635,-138666334612.8635,-169585551713.8388,-169585551713.8388,-169585551713.8388,-137968394808.19543,-137968394808.19543,-137968394808.19543,-168887611909.17075,-168887611909.17075,-168887611909.17075
71,ISR,334374248950.89905,375430888921.19635,118617709967.29718,150830394942.06506,-215756538983.60187,-215756538983.60187,-215756538983.60187,-256813178953.89917,-256813178953.89917,-256813178953.89917,-183543854008.83398,-183543854008.83398,-183543854008.83398,-224600493979.1313,-224600493979.1313,-224600493979.1313
72,ITA,2605713347349.8916,3053091135771.3804,1110533791528.007,1073114965938.839,-1495179555821.8845,-1495179555821.8845,-1495179555821.8845,-1942557344243.3733,-1942557344243.3733,-1942557344243.3733,-1532598381411.0527,-1532598381411.0527,-1532598381411.0527,-1979976169832.5415,-1979976169832.5415,-1979976169832.5415
73,JAM,76890705685.90198,85274839505.4318,50041036258.5057,51709347452.84617,-26849669427.39628,-26849669427.39628,-26849669427.39628,-35233803246.926094,-35233803246.926094,-35233803246.926094,-25181358233.05581,-25181358233.05581,-25181358233.05581,-33565492052.585625,-33565492052.585625,-33565492052.585625
74,JOR,199542668275.58218,222038744774.9073,128368259758.38757,168372217133.76425,-71174408517.19461,-71174408517.19461,-71174408517.19461,-93670485016.51971,-93670485016.51971,-93670485016.51971,-31170451141.817932,-31170451141.817932,-31170451141.817932,-53666527641.143036,-53666527641.143036,-53666527641.143036
75,JPN,3394315289398.5293,3853563842479.8955,1989247288108.101,1866787125412.5415,-1405068001290.4282,-1405068001290.4282,-1405068001290.4282,-1864316554371.7944,-1864316554371.7944,-1864316554371.7944,-1527528163985.9878,-1527528163985.9878,-1527528163985.9878,-1986776717067.354,-1986776717067.354,-1986776717067.354
76,KAZ,1214901205678.6362,1481130144678.322,265029761078.4132,315211832877.90106,-949871444600.223,-949871444600.223,-949871444600.223,-1216100383599.9087,-1216100383599.9087,-1216100383599.9087,-899689372800.7351,-899689372800.7351,-899689372800.7351,-1165918311800.421,-1165918311800.421,-1165918311800.421
77,KEN,951077562146.2258,1077774775469.0186,671567860865.1172,1012407469185.5681,-279509701281.10864,-279509701281.10864,-279509701281.10864,-406206914603.90137,-406206914603.90137,-406206914603.90137,61329907039.342285,61329907039.342285,61329907039.342285,-65367306283.45044,-65367306283.45044,-65367306283.45044
78,KGZ,188699248574.73486,218623758302.6624,85720004226.14922,106318125675.59172,-102979244348.58565,-102979244348.58565,-102979244348.58565,-132903754076.5132,-132903754076.5132,-132903754076.5132,-82381122899.14314,-82381122899.14314,-82381122899.14314,-112305632627.0707,-112305632627.0707,-112305632627.0707
79,KHM,633206742314.1005,730676963034.9456,228921478594.13306,289179734148.34973,-404285263719.9674,-404285263719.9674,-404285263719.9674,-501755484440.8125,-501755484440.8125,-501755484440.8125,-344027008165.75073,-344027008165.75073,-344027008165.75073,-441497228886.5958,-441497228886.5958,-441497228886.5958
80,KIR,22160890618.859314,26454417825.31268,1921890745.4542925,2528512170.108325,-20238999873.40502,-20238999873.40502,-20238999873.40502,-24532527079.858387,-24532527079.858387,-24532527079.858387,-19632378448.750988,-19632378448.750988,-19632378448.750988,-23925905655.204353,-23925905655.204353,-23925905655.204353
81,KOR,1510308646481.6912,1739892243339.2144,816564254113.47,843161550560.9968,-693744392368.2212,-693744392368.2212,-693744392368.2212,-923327989225.7444,-923327989225.7444,-923327989225.7444,-667147095920.6943,-667147095920.6943,-667147095920.6943,-896730692778.2175,-896730692778.2175,-896730692778.2175
82,KWT,133210055962.83083,146231953366.12976,59591389777.59222,78753421846.59738,-73618666185.23862,-73618666185.23862,-73618666185.23862,-86640563588.53754,-86640563588.53754,-86640563588.53754,-54456634116.233444,-54456634116.233444,-54456634116.233444,-67478531519.53238,-67478531519.53238,-67478531519.53238
83,LBN,154372445875.76007,173830367047.65646,87183067311.01585,84890601767.70914,-67189378564.74422,-67189378564.74422,-67189378564.74422,-86647299736.64061,-86647299736.64061,-86647299736.64061,-69481844108.05093,-69481844108.05093,-69481844108.05093,-88939765279.94733,-88939765279.94733,-88939765279.94733
84,LBY,87018832637.6375,103224860316.94229,97923114265.85262,119688003031.34625,10904281628.215118,10904281628.215118,10904281628.215118,-5301746051.089676,-5301746051.089676,-5301746051.089676,32669170393.708755,32669170393.708755,32669170393.708755,16463142714.403961,16463142714.403961,16463142714.403961
85,LCA,5252616717.524859,5704602358.85447,3160947003.462198,3386306969.0261583,-2091669714.0626616,-2091669714.0626616,-2091669714.0626616,-2543655355.3922725,-2543655355.3922725,-2543655355.3922725,-1866309748.498701,-1866309748.498701,-1866309748.498701,-2318295389.828312,-2318295389.828312,-2318295389.828312
86,LKA,519409912268.0796,577815712350.0997,320359896849.6184,339883891290.992,-199050015418.46118,-199050015418.46118,-199050015418.46118,-257455815500.48132,-257455815500.48132,-257455815500.48132,-179526020977.0876,-179526020977.0876,-179526020977.0876,-237931821059.10773,-237931821059.10773,-237931821059.10773
87,LTU,155296711532.00067,232429423014.18503,55656018802.92335,50090645004.43186,-99640692729.07733,-99640692729.07733,-99640692729.07733,-176773404211.2617,-176773404211.2617,-176773404211.2617,-105206066527.56882,-105206066527.56882,-105206066527.56882,-182338778009.75317,-182338778009.75317,-182338778009.75317
88,LVA,72492158357.42046,117181677828.75865,37930503150.69991,32665555835.168495,-34561655206.72054,-34561655206.72054,-34561655206.72054,-79251174678.05875,-79251174678.05875,-79251174678.05875,-39826602522.25196,-39826602522.25196,-39826602522.25196,-84516121993.59015,-84516121993.59015,-84516121993.59015
89,MAR,1533063799964.8853,1788881634854.4358,542487121992.62537,660682367276.1663,-990576677972.2599,-990576677972.2599,-990576677972.2599,-1246394512861.8105,-1246394512861.8105,-1246394512861.8105,-872381432688.719,-872381432688.719,-872381432688.719,-1128199267578.2695,-1128199267578.2695,-1128199267578.2695
