,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
1460,EGY,1053.0,1.3883968411143277e-09,1.21631241055236e-09,1.2085222612938438e-08,1.0587323316442651e-08,2.0657232744438813e-07,1.8096878220036616e-07,1.4578961602879197e-07,1.2771976574302866e-07,1.1769186886886938e-07,1.0310458543784533e-07,3.7333225859460364e-07,3.270597036389882e-07,1.0158396946891774e-07,8.899317480371759e-08
1461,EGY,2731.0,7.759232146398431e-09,6.7975164423786635e-09,1.322319467199919e-07,1.1584249769535494e-07,9.068308164405861e-07,7.944339425482662e-07,6.267617288071632e-07,5.490779340837109e-07,inf,inf,8.442038268686563e-07,7.395692364382074e-07,3.3574991161230457e-07,2.941354893951938e-07
1462,EGY,2735.0,9.738838369642961e-09,8.531760965296542e-09,8.337282489521414e-08,7.303920508884773e-08,4.307753591807416e-07,3.7738303633070655e-07,7.655294104773031e-07,6.706460970186711e-07,5.625430649122883e-07,4.928188332478605e-07,4.6755610707656304e-07,4.096050054466686e-07,3.1062210049762164e-07,2.7212213730180086e-07
1463,MAR,960.0,5.529289513167947e-09,4.9452629408451e-09,1.0707512701325868e-07,9.576540643131754e-08,1.1242888928072974e-05,1.0055368204473363e-05,9.115855566390975e-07,8.153000959564791e-07,7.332318702244451e-09,6.557848682425024e-09,7.495259316406445e-07,6.703578830729772e-07,6.745733206064894e-08,6.033220787831023e-08
1464,MAR,976.0,2.0790302090329294e-08,1.8213454325713128e-08,2.8014701584508986e-07,2.4542427788737145e-07,1.7265591922600265e-06,1.512561330385655e-06,1.4144225953028988e-06,1.2391124104343372e-06,2.7544915319552098e-09,2.413086904166056e-09,2.1018291177337337e-07,1.841318537362866e-07,7.13824862170806e-08,6.253500534633415e-08
1465,MAR,1016.0,3.450242132773232e-08,3.022602905185635e-08,3.5738087165904825e-07,3.1308540657874216e-07,2.3558611834962263e-06,2.0638646748325997e-06,1.9972896688829346e-06,1.7497361991839074e-06,1.0833630074936851e-07,9.490859040634996e-08,5.356216523870502e-06,4.6923418713345e-06,1.345510893365645e-06,1.178741948750418e-06
1466,MAR,1049.0,1.6398953043525298e-07,1.4366389721037072e-07,3.3168874343327615e-06,2.9057768148954635e-06,1.1730074647603977e-05,1.0276194059282987e-05,2.0431482001318905e-05,1.789910808514652e-05,1.6617605750772303e-05,1.4557941583984232e-05,8.595313566692176e-05,7.529970001491727e-05,1.6617605750772303e-05,1.4557941583984232e-05
1467,MAR,1052.0,3.1376420732394467e-09,2.7487479663878883e-09,3.572315298433196e-08,3.12954574889627e-08,2.5639018084185196e-07,2.2461197668198174e-07,3.478161470863365e-07,3.047061789279739e-07,2.8042676029577563e-09,2.4566934949591754e-09,5.041380041404415e-07,4.41652770237485e-07,9.546442903685977e-09,8.363211897733363e-09
1468,MAR,1053.0,2.498918956463684e-09,2.1891911949841773e-09,2.0212827148083248e-08,1.7707554342194626e-08,4.3458005713757426e-07,3.8071616213901985e-07,2.402078512578242e-07,2.104353610906468e-07,3.691784326774602e-07,3.234207224308196e-07,5.979884189412146e-07,5.238709234897274e-07,2.663519634266407e-07,2.3333904910846327e-07
1469,MAR,2731.0,7.269233896796576e-09,6.368250879039202e-09,1.2488442955522932e-07,1.0940566634454716e-07,7.395856133438727e-07,6.479178960491863e-07,5.842204292437637e-07,5.118094031509704e-07,inf,inf,7.901239427179185e-07,6.921922673282931e-07,3.219317954996119e-07,2.820300555447163e-07
1470,MAR,2735.0,2.853558079496293e-08,2.4998746781486622e-08,2.0443067980469513e-07,1.7909258043582022e-07,1.258255153058829e-06,1.1023010950374883e-06,1.7071241208052522e-06,1.4955351330403473e-06,6.045737451353309e-07,5.296400334014229e-07,1.1592080046463197e-06,1.015530315764276e-06,7.693527770018039e-07,6.73995577524625e-07
1471,TUN,960.0,2.5689800132949294e-09,2.297633651713127e-09,4.9748500338604435e-08,4.449385667023362e-08,5.223592810456088e-06,4.6718551962407935e-06,4.2353453727410995e-07,3.7879905661688144e-07,3.4066908871954503e-09,3.04686201640219e-09,3.4823952213850965e-07,3.1145701437190605e-07,3.134155616219815e-08,2.8031130550900154e-08
1472,TUN,976.0,1.765892751503127e-08,1.547019703411181e-08,2.5859588504161415e-07,2.2654429553544796e-07,2.0381034142031027e-06,1.7854912970665857e-06,1.3685996939366655e-06,1.1989690148511744e-06,4.342436002104435e-09,3.8042140726493286e-09,3.1150175825857023e-07,2.7289276614508e-07,9.4671975231083e-08,8.293788562112537e-08
1473,TUN,1016.0,2.354234299866796e-08,2.062439434807268e-08,2.0557967141406463e-07,1.800991606243598e-07,1.5216906378080192e-06,1.3330851475445134e-06,1.1494151176845276e-06,1.0069512052433934e-06,7.493647255351645e-08,6.564849391093718e-08,3.5507877208133315e-06,3.1106864004356705e-06,8.018239647217801e-07,7.024421336097596e-07
1474,TUN,1049.0,1.3922118972138387e-07,1.2196546106664603e-07,2.81591765982913e-06,2.466899589021533e-06,9.958409805953104e-06,8.724117685708326e-06,1.734559044376149e-05,1.519569643227691e-05,1.4107747225100233e-05,1.2359166721420132e-05,7.297110843644388e-05,6.392672626060817e-05,1.4107747225100233e-05,1.2359166721420132e-05
1475,TUN,1052.0,3.2793534647269467e-09,2.8728949819087166e-09,3.733658676663201e-08,3.270891470443788e-08,2.679700259748305e-07,2.347565613788266e-07,3.635252397855355e-07,3.184682128384068e-07,2.9309221590997088e-09,2.567649890080916e-09,5.269073629139591e-07,4.615999876586375e-07,9.977607350126668e-09,8.74093579602014e-09
1476,TUN,1053.0,3.5417809549015328e-09,3.1027959754267313e-09,2.763550021214794e-08,2.4210226416879338e-08,6.113541852449913e-07,5.355800738928487e-07,3.2985079031401916e-07,2.8896753291907603e-07,1.4107652460145126e-07,1.2359083702078998e-07,7.241774759866676e-07,6.344195156610385e-07,2.23403604876278e-07,1.9571391199295962e-07
1477,TUN,2731.0,3.548188874736556e-09,3.1084096675573675e-09,6.050102651445616e-08,5.30022449068874e-08,4.1051045560938605e-07,3.59629860161922e-07,2.8651020175913033e-07,2.5099878062946034e-07,inf,inf,3.8601702236569367e-07,3.381722581643346e-07,1.5377475772810775e-07,1.3471519144646212e-07
1478,TUN,2735.0,2.854692422335729e-07,2.50086842520467e-07,3.6586745828279515e-06,3.2052012576566157e-06,1.4700362812646012e-05,1.287833074749224e-05,2.121704245565819e-05,1.8587302484296224e-05,2.78223756085115e-06,2.4373939598221246e-06,2.3674764093461663e-05,2.074040254994041e-05,1.5168642093259497e-05,1.328856929294843e-05
1479,BWA,960.0,3.768322444175068e-09,3.261018886915309e-09,7.297386099534904e-08,6.31498876442512e-08,7.662255807754066e-06,6.630738551603016e-06,6.212639625196261e-07,5.376274311843958e-07,4.997123241188677e-09,4.3243946109094316e-09,5.108170559646509e-07,4.4204923860326963e-07,4.5973533818935824e-08,3.9784430420366774e-08
1480,BWA,976.0,1.962906930264941e-08,1.660439440031229e-08,2.7262236168279374e-07,2.3061354290061536e-07,1.810277865349621e-06,1.5313292335446294e-06,1.3363686105387984e-06,1.130445419059605e-06,3.5064849845593736e-09,2.9661650659381086e-09,2.575564710603065e-07,2.1786917962843626e-07,8.369891496588458e-08,7.08016143579546e-08
1481,BWA,1016.0,2.7814070542915094e-08,2.352815561715576e-08,2.925706165211041e-07,2.474879390233361e-07,2.492982095835788e-06,2.1088344696295602e-06,1.7834164770485544e-06,1.5086069598283385e-06,6.018044580972267e-08,5.0907143991609556e-08,5.566910457441538e-06,4.709096259296709e-06,1.1213818173057763e-06,9.485862870416817e-07
1482,BWA,1049.0,6.831442246185144e-10,5.77877430812795e-10,1.3817421688202129e-08,1.1688272926692964e-08,4.8864904537418434e-08,4.1335232698138743e-08,8.511304894009043e-08,7.199784215054922e-08,6.922528142800945e-08,5.855824632236322e-08,3.5806181079280957e-07,3.028874896932242e-07,6.922528142800945e-08,5.855824632236322e-08
1483,BWA,1052.0,2.1575488842086865e-09,1.8250887018122321e-09,2.4564449055269838e-08,2.077927353820215e-08,1.7630256596676695e-07,1.4913581963379955e-07,2.391701547019066e-07,2.02316040369685e-07,1.928309315261513e-09,1.6311730272446822e-09,3.46662354383019e-07,2.932445938809514e-07,6.56445724344345e-09,5.552929454449983e-09
1484,BWA,1053.0,1.8430571512248412e-10,1.5590575064668347e-10,1.511222273820841e-09,1.2783555997568918e-09,3.214111889317857e-08,2.7188442118222718e-08,1.7929059013306626e-08,1.5166341434396755e-08,inf,inf,4.70637806255472e-08,3.981164687063816e-08,2.6355717262515227e-08,2.2294522342475738e-08
1485,BWA,2731.0,3.5616403170232796e-08,3.0128214243925285e-08,6.054681759265209e-07,5.121706095644928e-07,4.36299903213998e-06,3.6906974844729322e-06,2.881472317772345e-06,2.4374616075870787e-06,inf,inf,3.8762261059410904e-06,3.2789321824415444e-06,1.530311884132728e-06,1.2945036612711512e-06
1486,BWA,2735.0,1.0397202010288139e-08,8.795080407365126e-09,6.63921538967859e-08,5.6161679975304206e-08,4.2528296143526334e-07,3.5975042497052006e-07,5.922081553215645e-07,5.009538468904088e-07,inf,inf,3.6325983076567316e-07,3.072845383968262e-07,2.4513011661877204e-07,2.0735762215599607e-07
